,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC009065.4,6.54898262615632,-3.9825491875177668,55.49710352941532,8.382962997806771e-128,1.6617547550552362e-123,277.0310497159871
RP11-40C6.2,7.407361684403002,-2.599950662041304,47.064925181260875,7.804431251179214e-114,7.735362034606278e-110,247.4285131726902
HNRNPA1P4,4.728348493921029,-3.9934632246198656,36.184631003346205,2.043974646884589e-92,1.350590314173107e-88,199.04705792892435
HNRNPCP2,3.7282351397844815,0.97549479164804,34.913460722070745,1.317301111087192e-89,6.528214981270352e-86,193.828658299575
CTB-63M22.1,4.888614258335672,2.47698237831159,29.978961886110124,5.522988371438309e-78,1.3685274810877701e-74,167.380835337332
UBE2SP2,6.330622933772732,-2.605351268910928,27.393571956980782,2.0983968678118116e-71,3.404834769669436e-68,151.95424546696407
TBCAP1,4.176506331987386,-2.8289667018298106,27.38324914011271,2.2329037989054468e-71,3.404834769669436e-68,151.86186802960444
RP11-215A21.2,4.2441736615744405,-2.46637999353291,27.006917363257354,2.170043360381421e-70,3.072626395202922e-67,149.66578695308743
HSPB1P1,5.030356547589572,-3.3533359093285156,26.067595924937432,6.8386040352535005e-68,7.531202655046119e-65,143.8707546516353
RPS2P55,3.7804089516311405,-0.6159986415593228,25.966571221394947,1.2780305248597982e-67,1.2667199547147889e-64,143.5217654058919
EIF5AP4,4.882535575133418,-2.924887115778527,25.76583766659367,4.444305546866409e-67,4.195212802644421e-64,142.07958085812325
NAP1L1P1,3.8168205120887806,-3.0607025796498246,25.60920937607245,1.1794195056122009e-66,1.0627105845341208e-63,141.09936844806373
EEF1A1P9,3.337768371757708,-1.2560996253327419,25.181514451842446,1.7215448552242825e-65,1.3125455255811903e-62,138.61685468307766
AC000089.3,3.126741420068193,-1.3189554614223544,24.871329254989078,1.2205319081440264e-64,8.640930005406797e-62,136.6705468178735
ANGPT2,4.866167996488036,1.1417950980592388,24.49658766502469,1.322012081693088e-63,8.735415165134027e-61,134.39673189552616
PPIAP22,2.9059468445611953,4.414501243470752,24.40271936350401,2.4077672739155624e-63,1.5396506668009094e-60,133.8001474006988
PRELID1P1,3.9766662805983177,-3.1738287622818766,23.876879098005702,7.065210249469788e-62,4.244050387128474e-59,130.22001459458417
EEF1A1P19,2.6062463921578347,-0.7061307959106268,23.07380964152976,1.3162399147245021e-59,7.051844278265893e-57,125.19899698145849
TECRP1,3.07534530425309,0.3645824453839371,22.83155969927142,6.471325437379527e-59,3.2892585678249833e-56,123.63961429630042
MND1,4.39427703224176,-0.5836493371795808,22.72145158851522,1.3378527768921964e-58,6.630063899083502e-56,122.89869131990939
RMI2,3.551037532567643,1.4516939311594483,22.180612584658636,4.8425440483220593e-57,1.959056136120167e-54,119.34965208143461
RP11-667K14.4,6.23535761519591,-3.4634658463154966,22.06899144970013,1.0202035551935594e-56,4.044699014920385e-54,118.44774122298477
CTC-518P12.6,5.3336174617398875,-1.9507817191310952,21.555928912696768,3.1955686100925005e-55,1.1517410283247934e-52,115.12678962080517
SNRPGP2,2.4973387864790295,-1.7773376856449334,21.50630862702565,4.466253969569923e-55,1.5532377620839401e-52,114.80147600230545
TMPO-AS1,3.1548135102105057,0.6424867229094064,21.472924852734316,5.5954435453407454e-55,1.912387541367062e-52,114.61994786954689
ESM1,4.856807390574773,1.5767158903906286,21.186221267091533,3.8983949017994986e-54,1.188890494436484e-51,112.68224739370747
PTENP1,2.6662824511544976,-0.14501087925478243,21.006308023288007,1.324510942636182e-53,3.75082577369672e-51,111.4678407358565
IGFBP3,4.056931022145902,4.490084469774865,20.56948044187871,2.621083876877555e-52,6.747759180693996e-50,108.43324248561767
CTB-43P18.1,3.493244317569265,0.911703993495662,20.52268131215724,3.613537438200821e-52,9.183481107366008e-50,108.17576395370573
AC012065.1,3.2225542056551397,-2.3982980435175545,20.430988095972932,6.783752559459777e-52,1.6399308169045264e-49,107.50962230925113
RP11-464D20.2,3.2056969973981695,-2.0334893369487457,20.408037125050505,7.94330195142911e-52,1.8971093323274606e-49,107.36535240415843
TNFRSF4,3.0984554134304734,-0.4888021973232584,20.397975273198384,8.512431133570471e-52,2.0088324090567554e-49,107.32435534101258
CTSV,3.7789166761850908,-0.9180381485617822,20.06125099621321,8.681449325211902e-51,1.8307698933369737e-48,105.0116649327966
CENPH,2.542149838261426,1.3730335375204998,20.01398499666293,1.2039119012970152e-50,2.5121205915169196e-48,104.67742510014011
DLX5,5.013586627100844,-1.2919564014030047,20.00504620790697,1.2807419622134828e-50,2.6445987413497782e-48,104.62069662500018
CTC-512J14.5,3.611118360570048,-3.11141632482731,19.90194156084258,2.615960822273697e-50,5.134276374250643e-48,103.85966208651257
HIGD1B,3.9760081768055606,-2.212389378941851,19.829480346943445,4.324289614554836e-50,8.24234548358851e-48,103.39308520605907
GAS2L3,2.9652936821082654,1.6655588189403816,19.764891289340124,6.771587208637011e-50,1.278411173683919e-47,102.95084443722443
RNASEH2A,2.532330636573036,3.0916082754976766,19.676790578700697,1.2493380643765854e-49,2.211216825905094e-47,102.30234972689267
DEPDC1B,3.9636642510080162,-0.36671000627139555,19.545187314204917,3.123739874670106e-49,5.247618265727586e-47,101.44977881038147
AL158801.1,3.3113968220350007,-2.27141417411104,19.389992830772545,9.226264891419402e-49,1.5115061896083207e-46,100.35411550083542
MTRNR2L12,3.6781643669549595,-0.5882564783928792,19.370363750293635,1.0582625244762564e-48,1.7055234164790918e-46,100.23612691395292
COX4I2,3.860411567809157,-1.53203777482803,19.25580794686461,2.3581617810807373e-48,3.7396672789090765e-46,99.43486674592812
IGF2,6.080566999106593,8.450541803253358,19.148953250020362,4.985214110901969e-48,7.843007882572201e-46,98.67521935750798
NACA2,3.1345268307817387,-2.972140302082358,19.05649797338895,9.53643989226256e-48,1.4541603691101594e-45,98.01776167703656
ASF1B,3.359803457128695,1.872470200283567,19.009215376962153,1.3292146423774037e-47,2.0113757141868148e-45,97.68268136251555
IDO1,4.347384214739739,-0.54604392856281,18.969197215849004,1.760853167034125e-47,2.585584617045738e-45,97.43869434912195
GPX8,2.8031447279927444,4.232703620552691,18.90260187181287,2.8126249496800716e-47,4.040193070833917e-45,96.86993812787733
