,logFC,AveExpr,t,P.Value,adj.P.Val,B
CPXM1,5.927365767476064,1.2897574668043688,76.42030868010293,0.0,0.0,1303.811112332639
F2R,5.0982613256657645,2.321268718467389,74.24130302899248,0.0,0.0,1263.7810165249691
HNRNPCP2,3.156813237339118,0.41074544410711344,74.00104082644567,0.0,0.0,1259.2355337558845
MEX3A,3.6455951346976594,2.5739361849900817,73.59186463431676,0.0,0.0,1251.7265025019938
PCDHB9,3.0143728761687485,2.0235974856396797,72.71284623907145,0.0,0.0,1235.3047119422301
TOP2A,6.6368274304774575,0.1426738854393151,71.85725122261188,0.0,0.0,1219.158624300289
UHRF1,4.128367220550804,2.5515291479126487,69.53945877739832,0.0,0.0,1175.2759666052668
RPLP0P6,2.9419285250665874,1.5708203704534554,68.75838936883068,0.0,0.0,1160.2909756311433
DTL,4.452425775299259,-0.7798350528648599,67.87902719934827,0.0,0.0,1143.2473360041959
PBK,5.992331798149794,-1.6433061326168774,67.08710140898366,0.0,0.0,1127.8403943110263
GSC,4.988312157447708,-3.6906489202967223,67.04837735972532,0.0,0.0,1126.7948998859092
MYC,3.673447453334478,2.8323685625225568,66.2350371005544,0.0,0.0,1111.427613591177
MKI67,5.827671102834769,-0.04036056626909942,66.03554380891067,0.0,0.0,1107.4793246866511
KIFC1,4.443254070200714,-0.27689843122043745,65.5920360279657,0.0,0.0,1098.791425548843
CCDC80,3.3926427356246514,4.721250131464552,65.02857359150096,0.0,0.0,1087.7529864199582
EEF1A1P9,4.040081948180526,-2.4170072817857453,64.79812169646905,0.0,0.0,1083.0279471011092
SOX4,3.5390311684710896,4.727141421732947,64.16472304124757,0.0,0.0,1070.7138082810661
RP11-40C6.2,6.412568899200979,-3.4670523707576897,63.32954581534083,0.0,0.0,1053.86990059722
RRM2,5.926249116155225,-0.9594523090917484,62.729979163259294,0.0,0.0,1042.198289647849
EEF1A1P12,3.8154726597674036,-2.375620552308892,62.3301374700583,0.0,0.0,1034.1112950225365
BCHE,3.2723479336101793,3.7136670339452786,61.659663825510414,0.0,0.0,1020.824711175678
NDC80,5.163914795523252,-1.8472888211675864,61.560823862382094,0.0,0.0,1018.7622607041255
NES,3.256745710095463,6.606154227256591,60.53839077250039,0.0,0.0,998.2572818749411
FAM111B,5.4078277018884515,-2.5474097016138417,60.405578564040404,0.0,0.0,995.4565229789721
E2F2,5.107716664883693,-2.2071185663281208,60.08949148048049,0.0,0.0,989.1003538007776
RP11-424C20.2,4.7225834873473955,-2.187915290284564,60.00831323922443,0.0,0.0,987.4599886266348
AURKB,5.481419468946809,-2.2982423427656635,59.82075694283254,0.0,0.0,983.6547784368187
MELK,5.382831820518317,-2.183364627777918,59.70039917159904,0.0,0.0,981.225854247948
DLGAP5,5.600480234290014,-2.917115575589419,59.646200831700966,0.0,0.0,980.0618208217577
CASC5,4.243076657990862,-1.1262238519322147,59.60683297215686,0.0,0.0,979.3952541598057
UBE2C,5.6272555791343315,-1.43373262284084,58.89003700717937,0.0,0.0,964.8158318609237
MYBL2,5.405625092926501,-1.2093047404570318,58.814866479901745,0.0,0.0,963.2963351534456
RPS2P55,3.704783259199272,-2.23503716132953,58.33018468498398,0.0,0.0,953.3540187317808
ASF1B,4.254563770287817,-0.8059070326862515,58.07611586146565,0.0,0.0,948.2374060354623
TP53,2.780768149869389,3.6751441739253243,57.37482029490794,0.0,0.0,933.8322095506152
RP11-698N11.2,4.444059260506994,-3.553535557475383,57.2873393129664,0.0,0.0,931.8972880684197
EIF5AP4,4.325514076286126,-3.855512197595524,57.091390390110696,0.0,0.0,927.8417459154763
NMB,3.8816743097075213,3.2928194928083685,57.03443281531135,0.0,0.0,926.851991567221
AC009065.4,4.765943252953262,-4.667998978228221,57.02073886096205,0.0,0.0,926.284374565802
CDK1,3.7802584089745865,0.24983762913955174,56.6794022760911,0.0,0.0,919.5965732805116
CENPF,4.042159015574225,1.248923167592561,56.47196082655174,0.0,0.0,915.3218431066952
MMP2,3.3721914617873843,3.296847777507321,56.31144547256229,0.0,0.0,911.957923217446
HJURP,4.929603041576416,-1.7838070321491248,56.29956255193572,0.0,0.0,911.7179236040465
KIF18B,4.03862160184136,-0.042473330798724264,55.8419750487188,0.0,0.0,902.3163643030692
KIF20A,5.150009045714537,-2.008209937556685,55.84132554584995,0.0,0.0,902.2472415242014
NEIL3,4.57166101902442,-3.625670847415177,55.69927847886714,0.0,0.0,899.1902343258882
PHLDA1,2.552691535225228,6.099408121621533,55.32515621378452,0.0,0.0,891.5334021834991
LINC00511,2.2080191148796917,3.898751196459229,55.26171283048017,0.0,0.0,890.2187947385883
TCF12,2.59257271281788,6.455144438354278,54.60707809475383,0.0,0.0,876.6305870852565
EEF1A1P6,2.529254481448309,2.6301254067025264,54.56030364892609,0.0,0.0,875.7017089234868
CTC-512J14.5,3.3361480457965658,-3.326227075837453,54.45940519005761,0.0,0.0,873.5173512513753
NUSAP1,3.5253230472565864,1.2112057710321673,54.42976982709266,0.0,0.0,873.0219438946035
CHST14,2.141903550334322,2.900199335905973,54.158142897903275,0.0,0.0,867.3181954495844
CDH2,1.4587474549990969,5.805652324219019,54.13377399697138,0.0,0.0,866.7611333043651
SRBD1,1.7960129976391237,2.648511288633982,54.09459733980644,0.0,0.0,866.004351147366
BMP2,3.6050139815882343,2.3504854686106715,53.83191074712237,0.0,0.0,860.537596012613
FOXM1,3.327190715291101,1.676473207985332,53.68179685973411,0.0,0.0,857.4240019386102
KIF11,2.669882730204275,1.290341041648847,53.57819880940828,0.0,0.0,855.2685698457832
DDIAS,2.8419887320906296,-0.6465708929275934,53.43873194066267,0.0,0.0,852.3630615596466
DOLK,1.6887446067453635,3.2735395718192173,53.25730085811085,0.0,0.0,848.4947265616129
E2F8,4.275361146722573,-3.2745235120524026,53.19810021277382,0.0,0.0,847.232353165404
MCM10,4.231886394049283,-1.784450857797746,53.13942354295183,0.0,0.0,846.0832007987805
MT-TA,3.7956466029634504,-3.9086083362858473,53.07911024358125,0.0,0.0,844.6930398239692
TNC,5.273625370662899,4.038382821520202,53.02202694035371,0.0,0.0,843.5399544054065
BUB1,4.0854320902810475,-0.45430826993476764,53.009990544698574,0.0,0.0,843.4000949984568
WARS2-IT1,3.9954693372579033,-3.204824558787679,52.667637956680245,0.0,0.0,836.1399655811008
GTSE1,3.5228325138181242,-0.5717051752379322,52.45766100720895,0.0,0.0,831.8284773989374
PTPRZ1,2.8163391816388215,8.42707535668851,52.24906108263491,0.0,0.0,827.3989387107752
ESCO2,4.181287513090007,-2.004693136313827,52.193118725579296,0.0,0.0,826.2515521349142
POFUT1,1.7576318729881786,4.770165858223318,51.96378163519005,0.0,0.0,821.3228917341819
CEP55,4.578446691115938,-2.2896504189865134,51.93102484283977,0.0,0.0,820.7381240176636
NTN1,2.66748069147335,4.471598102444539,51.89363466208678,0.0,0.0,819.8514944022331
SGOL1,4.270634837136376,-2.5490758551156176,51.639884362949466,0.0,0.0,814.6086111305638
COPG2,1.0106447344756928,4.681287659902291,51.605760009996594,0.0,0.0,813.7920830983911
CALCRL,3.0308153835334335,3.8911094615654993,51.563538288941075,0.0,0.0,812.9231871341938
RP11-565P22.6,3.8347865214794927,-3.3804069660950864,51.52561560891679,0.0,0.0,812.1605092729878
CDC45,3.9514065471544755,-1.5106452024522787,51.408868538009436,0.0,0.0,809.7809348096251
TROAP,4.4072299638865156,-1.6133106002526523,51.39340173704746,0.0,0.0,809.4532707322218
ZNF3,1.0645376179528574,4.338277927430071,51.223768953932435,0.0,0.0,805.7514100219548
CCDC71,1.6564498892192607,2.8186566994121205,51.189574207073704,0.0,0.0,805.095745910527
CKAP2L,4.153819127386163,-1.396465603038893,51.02480877405881,0.0,0.0,801.6931605450387
AC000089.3,3.183773780899328,-2.7355785015637837,51.01371598771903,0.0,0.0,801.4195505737154
FAM64A,4.161615576301028,-0.4828027513943339,50.9151897319504,0.0,0.0,799.3877396989913
FBXW8,1.202983128177805,3.263035751834829,50.9075748982319,0.0,0.0,799.1264494745811
MASP1,3.1767970942611297,4.209720428215081,50.86615268745006,0.0,0.0,798.2123427988258
AIMP2,1.652402834078698,3.372239437314658,50.824373719665836,0.0,0.0,797.3652858052264
TSKU,2.4829403687811116,2.4018533410669236,50.816221003930806,0.0,0.0,797.2406755546741
NCAPH,3.118580561319951,-0.16471996039320363,50.796742763256006,0.0,0.0,796.8879963175312
BIRC5,4.254272367084826,0.16000454594317715,50.76079841436351,0.0,0.0,796.1270728748474
MYCL,2.4737502642243907,1.7083371235378042,50.658139363081055,0.0,0.0,793.9295154358464
MAML2,2.3109085554045015,4.563643536763517,50.48559665131982,0.0,0.0,790.1682385097355
KIF14,3.5667390223206996,-1.291288871871403,50.46566546374664,0.0,0.0,789.8976753145078
TRIM24,1.730501335400624,4.681167770253179,50.4059282992874,0.0,0.0,788.4831828491222
TNFRSF19,2.7133589308187434,2.496458886108301,50.174270407511926,0.0,0.0,783.6742893862533
UBE2SP2,4.090981946554261,-2.88420845997961,50.15164449703212,0.0,0.0,783.2212061121395
TTK,3.726384334310365,-1.3657319709064468,50.1395460961406,0.0,0.0,783.0063795839243
VCAN,2.7818526440485973,6.2854161515667935,49.957330359759986,0.0,0.0,779.0195471393387
CMTM3,2.6753775616615822,3.645413256956578,49.80590970231672,0.0,0.0,775.8210627945181
CBX8,1.635415528476366,2.255547886369905,49.78494201099927,0.0,0.0,775.4466424908142
TPX2,3.0094113865584404,1.8569800525957532,49.77383655914764,0.0,0.0,775.2272199080786
RNASEH2A,1.8863049565985013,2.810442880113243,49.54885880855791,0.0,0.0,770.4192589541071
SPCS2P4,1.683355977552974,2.5001560804839933,49.422119239412595,0.0,0.0,767.7490738982552
C1QTNF5,2.7591121703260204,3.7346525442153222,49.385026582786,0.0,0.0,766.8992911620091
PRR11,2.620866705967086,0.7621005467438545,49.32219204634594,0.0,0.0,765.689485742625
EGFR,3.553500701835115,6.008863870492748,49.232203367812396,0.0,0.0,763.647776514905
ERLIN2,1.1311649038818512,5.336482964895166,48.896746851004856,0.0,0.0,756.5140329556721
