,logFC,AveExpr,t,P.Value,adj.P.Val,B
RP11-64K7.1,4.6023960197184435,-1.9600324316068742,31.22988647332499,2.0916511865726753e-146,1.3429969356186505e-142,322.56701477183
EIF5AP4,5.541627945120791,0.1938046092401771,27.642235439213756,8.155598956053378e-123,2.9922892569759845e-119,269.16591120525504
HNRNPCP2,3.25949313193729,2.307134536061592,27.46101807046947,1.256595739870272e-121,3.5859053763431326e-118,266.83276621106006
RP11-40C6.2,6.744420831989593,1.3140112255050045,26.737629960603286,6.799712291252517e-117,1.5876091888748945e-113,255.83828979282544
EEF1A1P9,4.174221895765397,0.9474835858290027,26.580404094579535,7.233310713263032e-116,1.5481093254061204e-112,253.42933776401256
HNRNPA1P4,3.980587771275231,-1.8236925584605357,23.068185198294568,3.3038986355290842e-93,5.303376791018342e-90,201.3618993736937
HMGN1P37,4.131587643405174,-2.005396633712152,22.269894654802957,3.670149311209863e-88,4.7130222379901455e-85,189.84401762402828
HSPB1P1,5.457340226909915,-0.05389435802254922,22.17558136574274,1.4369508367983241e-87,1.7573908734043505e-84,188.63920122308528
PPIAP22,2.551328183435535,5.730501242920182,21.50966997707142,2.0924353349178688e-83,2.2391673627789844e-80,179.30142869046264
RPL12P38,3.4507112988714725,-2.4523741806033996,21.127070196520016,4.943683871741056e-81,4.56189318431028e-78,173.56529706082478
RP11-215A21.2,3.715883524868976,-0.6213629576693167,19.942900858792584,8.780104338283786e-74,7.046856866254452e-71,157.11678833340764
HMGN1P36,3.657825108173562,-2.850674916343911,19.580936679941335,1.3413166294948152e-71,1.0439101513731922e-68,152.0433573484013
TREM2,5.505441995504433,3.7268426427320125,19.104387598943834,9.505421362188235e-69,6.424414127502117e-66,145.7143115259977
UBE2MP1,3.029538416849046,-0.8195494240116235,18.894792009408093,1.668160996905183e-67,1.0985481765004055e-64,142.7749209270692
EEF1A1P12,4.514366809274472,1.3243564452109897,18.305082102894236,4.903226012693892e-64,3.1482388421004314e-61,134.93709674821983
AC144530.1,4.5509362828652895,-0.3263450014015207,18.24260287564667,1.1350647480365505e-63,7.11021168873725e-61,134.04679159034964
RP11-10G12.1,3.651975911844033,-2.7159348338419296,17.9726226969088,4.203027433376989e-62,2.4533262175323007e-59,130.39623018143374
UBE2SP2,4.276316074179441,-0.8721616781105179,17.74022286511258,9.223367031279403e-61,4.737674709286978e-58,127.38513408124933
GM2A,2.839474914446167,6.359216987597602,17.725085623886823,1.1271075091630792e-60,5.6759808152618355e-58,127.15375997258127
MT-TA,5.1719842173623665,-0.5519209947966389,17.542715981822948,1.253691463710946e-59,6.192030358170813e-57,124.80902849512815
AL158801.1,3.468824778478556,-1.0880680954715058,17.459917898556476,3.727679290524436e-59,1.7406906767007106e-56,123.71296463854407
SLC41A2,2.9963244379515417,4.626574457822727,17.369633608536294,1.2195836733949976e-58,5.495187277860302e-56,122.51059782910791
PRELID1P1,3.712500456433862,-1.093769933612801,17.32782348659866,2.1093551643123636e-58,9.338358106608629e-56,121.99551373481236
NAP1L1P1,2.9146873152349024,-2.5634133042603433,17.28710547398529,3.594156287163494e-58,1.5384785987203337e-55,121.43476285206664
RPL37P6,4.6150197910540705,-1.5750980827346728,17.06698396779043,6.339205798120649e-57,2.5047665002020406e-54,118.61258127380331
YWHAZP4,3.45687314484201,-1.2351268939842104,17.04471508687836,8.466026156689508e-57,3.294438633064494e-54,118.33383288021726
TMEM209,2.079763158896953,4.300629760599681,16.770691702205564,2.929704219771477e-55,1.106523433476336e-52,114.77327622503947
RPS2P55,3.3166562151347425,0.6796660283603322,16.758114008980847,3.44475946010833e-55,1.282199379912496e-52,114.70381176101475
CTC-512J14.5,2.7603357407797193,-1.7159677708010108,16.447878236992363,1.8330097400140781e-53,6.538498493441885e-51,110.71682832561774
SIGLEC8,5.803459111203233,1.7216629576534555,16.409136251744513,3.002595135391629e-53,1.0563787789351124e-50,110.27178250807168
FAM207BP,2.743232810703654,-1.7059263099378237,16.331740301170694,8.032616319592186e-53,2.787860607244407e-50,109.25382319403698
MET,3.2762455628345055,8.118258753559552,16.23145434455315,2.8640348091958198e-52,9.55285792267224e-50,107.89478882248444
TBCAP1,2.9111297913110143,-2.3669899419940896,16.218223178655833,3.3859740094761144e-52,1.1148970575048082e-49,107.81921950550007
ELMOD2,1.7862960004348851,5.0178171079371445,16.1518844138398,7.829352604837204e-52,2.513515786875424e-49,106.8976746127187
ADAM10,2.109642419333376,7.106864155898795,16.0875895971309,1.7610377622333372e-51,5.515699127736439e-49,106.07939914045514
PLD4,4.3234312400653385,2.6242546087729828,16.080934696012953,1.9149745024311123e-51,5.925577126016658e-49,106.11982058975431
OLA1P1,2.877745339630299,-1.0206004060680978,16.038917634962864,3.249029236764197e-51,9.933906891406533e-49,105.60081833232758
PLA2G7,5.033640839221504,1.9445630459643861,15.826324068430138,4.658827463560996e-50,1.3444119746813154e-47,102.97146033896708
CDKN2A,4.480348225154161,1.5804735221802793,15.663551956784621,3.530916328054967e-49,9.965332313564364e-47,100.96788920996848
MOCS3,1.590495372625752,3.165636695055194,15.554338843601293,1.3650946872522452e-48,3.729758175819087e-46,99.56147647570825
EEF1A1P7,3.414937183775366,-3.095838135977787,15.465296750427797,4.0947180918440755e-48,1.0841715953900142e-45,98.5079597682325
PRIM2,1.564458682056065,2.8814277630630216,15.45599747438935,4.591510824972361e-48,1.1911492173511631e-45,98.37267895577222
IKBIP,2.7534454128181474,5.087640390426353,15.418216796285723,7.308442049284085e-48,1.8770271715176315e-45,97.79973461521038
EIF4BP7,2.593829374059492,1.854503489781007,15.32343873065112,2.338716822197028e-47,5.88875138671434e-45,96.79896600648054
CAV2,3.069445770821509,6.644128808503059,15.280305970739267,3.96521590733418e-47,9.792176937313822e-45,96.1048734912111
ARL6IP5,2.182321519577414,7.345807282656215,15.229377612019977,7.387693905699348e-47,1.8070299293340606e-44,95.4889043952477
FAF2,1.6898565456724581,5.9507142788313345,15.16392706383797,1.6407059290168214e-46,3.938154240648507e-44,94.69311519621012
SLC38A1,2.650083701830054,7.771080654693227,15.063679994731826,5.5471208502190795e-46,1.2834838269925822e-43,93.48670522556255
TMTC3,1.993690924346367,5.068321706322605,15.02055104210294,9.354740813547741e-46,2.126175294817227e-43,92.97334522018454
SLC35E1,1.757143158460699,6.137990515518446,14.996806007772404,1.2468760174051463e-45,2.809080417106699e-43,92.67468195217612
HFE,1.960429788619165,4.108444444536787,14.983819281750057,1.458897708088968e-45,3.258162594508606e-43,92.56802804726159
AC005255.3,3.3691006740719973,-2.6442727997384687,14.879800206602614,5.1170156369643326e-45,1.0951692717012913e-42,91.4559019210604
DNASE2,2.0577408824438352,6.034501182965625,14.74299978052865,2.644069342517792e-44,5.5661994199905294e-42,89.63702836551951
RP2,2.259514861785701,4.27153859408489,14.706447782239549,4.094231447567744e-44,8.480011795796966e-42,89.24371885105242
ALG8,1.4742972273725714,4.700933572464822,14.639537542374255,9.100134804061144e-44,1.8549108108944632e-41,88.43122639127081
TMEM140,2.184640875829249,6.5642241950912075,14.585528006603266,1.7311599678957227e-43,3.500896177595736e-41,87.76727873466594
KIAA1715,2.1394912828914068,5.146570897602928,14.562158996029805,2.285517374088627e-43,4.58585489989986e-41,87.50291145359557
PLBD2,1.9693944673944488,6.571165935653012,14.460235105244104,7.652309084348154e-43,1.488895865252376e-40,86.28923176660636
SND1,1.7550876379996216,7.488789849891464,14.446019908779933,9.053274299647134e-43,1.748234916073965e-40,86.12654299562686
RP11-204C16.4,3.8928130991819168,-1.3350299041614668,14.40956208145478,1.392706214031342e-42,2.649546199627182e-40,85.91621943004021
VMA21,1.5047341332538533,5.658397740181906,14.3728782304529,2.146725235967538e-42,3.966499585277286e-40,85.26722118247015
ARL6IP1,1.8686949379283373,7.58058015872135,14.36800818611172,2.273533537424033e-42,4.1412171518908825e-40,85.21165501735484
TWISTNB,1.5761775228349029,4.165584694667975,14.35879824520941,2.5340984604247672e-42,4.583327518245725e-40,85.14770883521538
HNRNPKP1,2.3498986265659596,-2.082138677776268,14.3377768264439,3.2456953043214814e-42,5.8293141609013014e-40,85.0751718875209
RNF139,1.5657144843329855,4.903586829688107,14.29269170823143,5.514420738755498e-42,9.835199155101212e-40,84.34365995740843
TES,2.197756843497447,6.292286789683073,14.267322531452344,7.427255526042037e-42,1.3155462322437078e-39,84.02921431276967
EEF1A1P19,2.1485351064570266,0.3244289815181309,14.262855472769534,7.826829705624376e-42,1.3768251186955536e-39,84.20684988119179
CD276,1.8641111329002884,6.100476303774017,14.242223254550137,9.968713126688034e-42,1.7416765934199235e-39,83.73712656112397
