,logFC,AveExpr,t,P.Value,adj.P.Val,B
RP11-40C6.2,8.751229335207224,0.5130543565264393,72.09161584984511,1.0364938651618652e-260,2.1769480649994653e-256,585.0069102944028
RP11-64K7.1,5.055083977197755,-2.6523485831369324,54.12215566027569,3.1405022646683106e-207,3.2979984532414266e-203,461.7888953183562
HNRNPCP2,3.3852101767719036,1.3950048401967827,44.94934616482322,1.002622524935761e-174,5.264520222806447e-171,389.1323006171815
PPIAP22,2.640981923806598,4.8848455803066155,41.525632365669416,1.6313882069806748e-161,5.7106744185358525e-158,358.945855285121
EIF5AP4,5.564107995478537,-1.4768591089181107,40.62571889380544,6.144892574054127e-158,1.8437311247551262e-154,350.1101893422346
RP11-10G12.1,4.393754721286852,-3.3302656012398635,38.89405740662664,6.204140557511787e-151,1.4478396014380005e-147,333.62330695867513
UBE2SP2,5.729029704699912,-1.3194422183006957,38.48845529704531,2.8627897040383886e-149,5.466106559447116e-146,330.3321218736557
HNRNPA1P4,4.187129429846022,-3.1832770258362983,38.04531017836404,1.9282752608408422e-147,3.374963775286684e-144,325.711735104718
FTH1P7,3.7338550361082223,2.1246930815029472,37.094026297483104,1.7628306143842343e-143,2.6596700384171004e-140,317.49044076712875
PLVAP,3.8787872145001168,5.29205984216872,36.071818500643126,3.6093306717655856e-139,5.053784806606173e-136,307.5097833724255
RPL12P38,3.89119986760861,-3.376530309285465,35.606759280256824,3.448091139607776e-137,4.100015056938336e-134,302.2869788551145
RPL37P6,5.1975561300624555,-2.3703599494502168,35.60483960627658,3.5137966492829624e-137,4.100015056938336e-134,302.4992401109405
FTH1P20,3.567747025025573,1.2868757547842593,34.79078909129096,1.0965006249839956e-133,1.2120948750809926e-130,294.95126945049833
RP11-215A21.2,4.362954698954614,-1.42108949548425,34.67293033306406,3.538748021620366e-133,3.539253557052026e-130,293.5068171093117
EEF1A1P9,3.906806934303186,-1.0036196942003126,33.65615503056449,9.317464567966083e-129,7.247952160036727e-126,283.43760042115326
GBA,2.643530705630412,6.288732308873124,32.82399405573895,4.2416159529898845e-125,2.7839581206452047e-122,275.13670441533617
CTC-512J14.5,3.386457659972209,-3.1306232773293488,32.15906040744114,3.769482821859334e-122,2.3991044759851997e-119,268.0169644092433
EEF1A1P12,3.952429186032263,-1.0705920563835576,31.101534774009277,2.0504634230205054e-117,1.1639427911810722e-114,257.4490052079451
AC009065.4,5.204283415576824,-2.832180329498348,30.915888147672288,1.4087970303577272e-116,7.786569481211407e-114,255.33186333703702
AL158801.1,3.887830063506706,-1.8657158093635904,30.37506086849707,3.950213256648865e-114,1.975388786414193e-111,249.85362920304462
GABRD,4.397214087006264,0.21621316822368056,30.367251643174786,4.2861420044731575e-114,2.0474807116069057e-111,249.92162217865572
EIF4BP7,2.9031173671559594,0.6069757180312931,30.318710091337994,7.119681084757103e-114,3.3229924849589653e-111,249.4328368657771
SUMO2,1.4104988317239036,6.450254895923229,30.299318710976557,8.720360521967084e-114,3.981602870497275e-111,249.1001286641845
FTH1P8,3.08285507423298,0.8070893750786203,30.16495220209863,3.558754265592428e-113,1.5571774133382868e-110,247.83512113025049
UBE2MP1,3.470440352231121,-2.343507608810392,30.117972880433538,5.821584288065711e-113,2.4953211184131455e-110,247.12631607290504
HSPB1P1,4.546742639517015,-2.5764766577213725,29.731990654138173,3.3497231066413176e-111,1.3794947923291684e-108,243.07153810226737
CD34,2.937017528547917,4.322465326295063,29.533640794871946,2.704377120397011e-110,1.0142862974946147e-107,241.05475911253387
PRPF6,1.5972630561599646,6.310234174961625,29.302960148895174,3.0845539126421875e-109,1.0620473086430142e-106,238.62521843935878
SNRPEP2,2.792849840639188,-1.1815903969843022,28.920192103910594,1.7719286464716807e-107,5.725510363360725e-105,234.67123993769667
GRN,1.9611056755596312,7.620893324005608,28.818131883099397,5.231181609293735e-107,1.615742754999946e-104,233.5443926709723
AC144530.1,3.6773289262166164,-2.154344388248852,28.61385614065483,4.580930608458034e-106,1.3744755081349156e-103,231.36217258829552
RPS2P55,3.2429503022596116,-0.2263957214069511,28.514216426268675,1.3220374793164231e-105,3.91081030677223e-103,230.42539936086044
RPL10P3,4.055927785427402,-3.2104751982025066,28.05196173228268,1.828110897672888e-103,4.570930140931389e-101,225.29901500231722
MT-TA,4.700141503016322,-2.3185619967546183,27.858803458349442,1.4424267284924787e-102,3.366143175391948e-100,223.33857903801527
TBCAP1,3.5335962686292794,-2.9694794852679265,27.81261053071234,2.3650865083910553e-102,5.399338253884492e-100,222.78350176066823
H3F3A,1.5022169664203835,7.984756859135173,27.802912000713736,2.6238958252320033e-102,5.862732342271038e-100,222.743934497902
VPS72,1.6270881235288046,4.602498305284668,27.689673152176745,8.826614381372384e-102,1.911189503628497e-99,221.4460844304404
CDH13,3.019815021282712,2.0343239202326413,27.663869664809607,1.1638986039903443e-101,2.477517747915166e-99,221.36651616993345
STMN1,3.153667184937037,5.008072646382924,27.66355704133741,1.1678058231852662e-101,2.477517747915166e-99,221.15858302611704
FTH1P5,3.453641331677298,-3.3296724350067235,27.657088322186826,1.251664871248666e-101,2.6028432961223498e-99,221.0879423309823
MND1,4.156103892871603,-0.24789330078433391,27.473138446036938,9.007437145642948e-101,1.7680673118685872e-98,219.33627859371057
GM2A,1.7538086432362903,5.330566043728653,27.414786849277938,1.6856124082782417e-100,3.278047908432214e-98,218.49012392337474
FAM207BP,2.9338465647144476,-2.2956558031393923,27.073280203576907,6.638965519745175e-99,1.1917794257368198e-96,214.95356272217415
MDK,4.9431947786372925,5.036427763496639,26.990884013001914,1.6130484914857668e-98,2.8232381222229634e-96,213.9299338788756
PIGT,1.52703601946589,6.435541273902807,26.989779538707467,1.6323643794561862e-98,2.8334338067535767e-96,213.9465693528657
ESM1,5.32286314374664,1.0961789751205793,26.97691092051066,1.8752282376958048e-98,3.2283130062561468e-96,214.0272505808429
AC000089.3,3.148459260023036,-1.4222559502919105,26.931838977621688,3.0484480150687704e-98,5.16343174681366e-96,213.49101965194114
TMCO1,1.510294129652224,6.709689159959393,26.925358781091028,3.269073379155033e-98,5.492827854591453e-96,213.26307515030902
KHDRBS1,1.0217366811879867,5.975056559424703,26.92122820612513,3.417970900947896e-98,5.697431970841957e-96,213.19238736538068
HMGN1P37,3.626221002448131,-3.61830151902609,26.585290591121435,1.285186648076757e-96,2.029531967635799e-94,209.59712056243745
LMNA,1.8000909164554386,7.875794002807787,26.516658931689705,2.699297478636953e-96,4.1686283046920535e-94,208.90432416539724
CDKN2A,5.069223593725617,1.5942874638270432,26.48382322884007,3.850332154657757e-96,5.86003813364325e-94,208.70028043021284
PIGC,1.5002400871963255,4.294405061113179,26.4616831215363,4.892408616397479e-96,7.392464616560882e-94,208.23882111390617
PIGU,1.6915633534737529,4.0438160546483655,26.460291731740213,4.966616888898543e-96,7.450989608395435e-94,208.23991222159248
HMGN2P17,3.3016418763235142,-4.192353556860012,26.458293287440572,5.075176760133205e-96,7.559853722913313e-94,208.1655652537918
PDZD11,1.4764535395972,4.2000167355081555,26.219240972424913,6.75581270455483e-95,9.652539743793544e-93,205.62025140160947
CDC25C,4.930241788735723,0.18563524446945304,26.168367213212353,1.1726442950697835e-94,1.652956250291991e-92,205.3128041207916
NEK2,4.780873980205278,1.0325246322011001,26.119951859607884,1.9822477398972312e-94,2.757162204043811e-92,204.78471478878672
CDK1,4.233037026916212,2.140117320503399,25.958337784260245,1.144825593043377e-93,1.5315141357127417e-91,202.984071633612
