,logFC,AveExpr,t,P.Value,adj.P.Val,B
RP11-40C6.2,8.335438923359813,1.2272897606664033,122.62540028936905,0.0,0.0,1637.8335719701101
HNRNPCP2,3.5987713463369104,2.4113888700568085,88.80908577061217,0.0,0.0,1264.3279334386464
RP11-64K7.1,4.651422610934919,-2.3094746170062628,84.16941523473301,0.0,0.0,1203.6127361492024
EIF5AP4,5.619324133677715,-0.385196584037509,82.319134272712,0.0,0.0,1179.8978609030887
HMGN1P37,4.493644426150565,-2.2823611712704386,78.21874717662915,0.0,0.0,1124.152893798363
RPL12P38,4.046540166985971,-2.3974810379985607,68.5026960176395,0.0,0.0,985.5330147159151
HMGN1P36,3.9731405998448652,-2.8276750664919206,68.15204436576217,0.0,0.0,980.2104567284148
YWHAZP4,4.083470982382487,-0.4663999877966153,64.45289814673933,0.0,0.0,924.668407329469
HNRNPA1P4,4.031265267656256,-2.2617199793865725,62.216627289946864,0.0,0.0,889.7296984572287
YWHAZP5,4.51909047836754,-0.046899554875761786,60.75167291960907,0.0,0.0,866.9483189198806
RPL37P6,4.59064653532271,-2.0286644513001546,60.2546913223024,0.0,0.0,858.8391629043028
OLA1P1,3.556488342264282,-0.6937331137099702,59.37691889272744,0.0,0.0,845.0038480699308
UBE2SP2,5.921897007679935,-0.11408638885152296,58.61819939684964,0.0,0.0,832.8666502483221
RP11-204C16.4,4.119646176129933,-0.43347034521699185,56.39779504602294,0.0,0.0,796.7808884645218
RPS2P55,3.31743186325932,0.8497616401582837,55.71079716572921,0.0,0.0,785.5736424808939
AL158801.1,4.028347306278654,-0.48269754258036174,55.40282359045411,0.0,0.0,780.4217908452625
RP11-10G12.1,3.9992382283186063,-2.930311702924454,55.16903802666075,0.0,0.0,776.3055631243955
PPIAP22,2.602867550878194,5.620295246219691,54.97967917404986,0.0,0.0,773.4785545974813
TMEM182,2.6526504196448455,2.258646148563047,54.879664001102036,0.0,0.0,771.897058864048
SNRPEP2,3.2496780297248518,-0.7293984791752737,54.620127839780785,0.0,0.0,767.4559793896448
NEK2,4.835904505942122,2.777144517161102,54.2329078239676,0.0,0.0,761.1562482022656
EEF1A1P9,3.357275908067079,0.26615944802331143,53.7741908380227,0.0,0.0,753.4292398467081
CTC-512J14.5,3.2890593050263757,-1.333100106302433,53.11826192375954,0.0,0.0,742.3611107094737
EPN3,5.253119937265766,2.932540916619307,52.277220601859476,2.57e-322,8.0424e-320,728.3563741583152
RMI2,3.573035445115656,3.2090524789731107,52.127524388039845,3.3e-321,9.9182e-319,725.8211137698287
GINS1,4.270793002045649,3.014992259429981,51.801270543856695,8.28054e-319,2.36246955e-316,720.3053586472009
TOP2A,4.563387018376228,5.817213025511949,51.47088405156462,2.2527355e-316,6.192000645e-314,714.5919596317187
RHNO1,2.2853947875426712,4.707796600430373,50.72494538669924,7.398634052333e-311,1.8949751466537925e-308,701.9237485601165
DSG2,3.8676115352577796,6.812013322249832,50.55479106741172,1.35284888735812e-309,3.426051805861204e-307,698.9853170640273
KIF20A,4.283195044232467,3.36060744381611,50.124036376464844,2.1501866445306567e-306,5.267723563160486e-304,691.723392752902
CCNB1,3.7968889404565744,4.528309698116383,50.0804073225319,4.5415316848959764e-306,1.1006621789878538e-303,690.9104881779937
CENPF,4.289730092294952,4.777528912405189,49.7474975830522,1.3738927629505738e-303,3.2256426025148943e-301,685.1867287474084
RP11-215A21.2,3.3600234977901122,-1.2026388750867913,49.71965254104255,2.216567485889571e-303,5.150434491181964e-301,684.7249281620603
KIF4A,4.409835968214974,3.312128548097589,49.59618448217293,1.8501419230585008e-302,4.212156444829853e-300,682.6697180049171
YWHAZP2,3.6819319104929864,-2.3794174031313045,49.56162278831627,3.351880874252673e-302,7.554804302478098e-300,681.9283436549183
OTX1,5.177262881538615,1.5250857877587998,49.40806889125307,4.705368347181925e-301,1.0296533706517806e-298,679.4591628490335
UBE2T,3.5640010434807587,3.345239903513727,49.405260925552874,4.938373849270541e-301,1.0702500787375838e-298,679.3853991248917
CEP55,4.3590374465854165,3.537737940718835,49.27851890536257,4.379190875058258e-300,9.31156444650359e-298,677.1943154437902
TPD52,2.7349593220296766,6.231586296801134,48.971242825405035,8.756592958056198e-298,1.8274523026076728e-295,671.7914157071024
MMP11,5.964467941562787,4.655168411371011,48.889212305175484,3.608454477860595e-297,7.461555548302747e-295,670.4148270409294
SKA3,4.283847227267853,1.865879771036959,48.77998216891418,2.380652550040624e-296,4.790850698693359e-294,668.6397134677194
DEPDC1,4.8068657577435685,2.4067022607050603,48.75183858030594,3.871670536602001e-296,7.722440904820576e-294,668.1504694472161
ZWINT,3.5134709907109887,4.198690047437834,48.3205602162238,6.74283032351235e-293,1.2771147282491164e-290,660.609210061947
SPTBN2,3.277224044840406,4.786217376876869,48.201110671703134,5.344845419711398e-292,9.955989331807868e-290,658.5046997960153
CDC20,4.387835394317426,4.1756929147027755,48.033003624538736,9.870399713862963e-291,1.7656265011964867e-288,655.6258913863261
KIF11,3.5277541945691597,4.029347544685841,47.98286891892225,2.3564253001763704e-290,4.117168204703505e-288,654.7657510411575
SAPCD2,4.247740119406609,3.331769293137795,47.90389029473787,9.285865712924902e-290,1.5976650939207204e-287,653.4381589462445
PAFAH1B3,2.8097235561957694,4.373641372374086,47.806347802277735,5.055373646594167e-289,8.567147866209469e-287,651.6779217813474
DLGAP5,4.360553244257865,3.010889286646295,47.743855089219544,1.497820917960993e-288,2.5193571395464793e-286,650.6738245352807
ALDH18A1,1.9804153178110733,6.10352253039139,47.565519375064056,3.3304004561889385e-287,5.400280279283632e-285,647.4334717866524
BRI3BP,2.4883124642395678,4.711529816836092,47.441452868777475,2.8868306847576837e-286,4.5920308115348977e-284,645.3117907899817
LINC00511,4.132202673521973,3.548521850180514,47.44132894404058,2.893067018225988e-286,4.5920308115348977e-284,645.3851532216739
ANLN,4.295857799948859,4.474751882144803,47.37738882704238,8.81034754944335e-286,1.388646317600725e-283,644.210126683977
FAM207BP,3.1031608923533174,-2.0667740370431833,47.27758126132286,5.014999719891083e-285,7.795384737008628e-283,642.4831020091353
SNRPGP2,3.2506193692437897,-0.6560804986581169,47.18379413276589,2.572608516039267e-284,3.971508448151304e-282,640.9175829041812
HSPB1P1,5.048047919482014,-1.328540805290275,47.07514040972231,1.7119866625756676e-283,2.5724311591861978e-281,638.9999321496057
EXO1,4.217495618612849,2.274059175891751,46.982954173201186,8.555825937284394e-283,1.2686826368450854e-280,637.4480962814912
TBCAP1,3.0328383337901617,-2.7262228957582457,46.85943093451898,7.397911139695022e-282,1.0827371375167929e-279,635.1538219826532
AC009065.4,5.3971319748318765,-2.1356937938545104,46.84408581604304,9.672450109716676e-282,1.406499051760672e-279,634.9281569867693
AURKA,3.4130084520463426,3.720463580291832,46.70017526969841,1.1964538426839797e-280,1.7067641240667226e-278,632.4464221870403
KIAA0101,3.8881020113959677,3.2271365034406303,46.53909951311671,2.0024268381373907e-279,2.7859690435048545e-277,629.6606451979977
MCM4,3.166850463071377,5.923446551109271,46.46373316358876,7.489677237956522e-279,1.029328263818915e-276,628.2063257856289
FERMT1,4.547592797237432,4.042713989093931,46.454822552906506,8.75413878711949e-279,1.1958153583205223e-276,628.1322236627071
TMEM177,2.190585788448039,2.8631545464149073,46.37597740509403,3.482083526369912e-278,4.589630444494236e-276,626.8237122492451
EEF1A1P12,3.5715620582910494,0.4003933814938665,46.36927494608096,3.915828651357711e-278,5.1313291844739215e-276,626.7235867457796
CDC25C,3.984957467003646,1.057412846650196,46.36155227789129,4.4830231648490683e-278,5.8406276943660786e-276,626.5960504739757
