,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC009065.4,6.291008306823711,-3.3580637707447045,85.60066249442464,6.102478216797506e-238,1.2319683024070805e-233,529.4105772232242
RP11-40C6.2,8.246235327712924,-1.1092343566554748,68.891496445151,1.4035881847415647e-206,1.4167819136781355e-202,461.1202040794503
UBE2SP2,6.25817925945509,-2.7935753494463618,53.769484414430586,5.929125397652111e-172,2.9924295881950203e-168,381.84248783262973
HMGN1P37,4.5716106699260255,-3.996716251442449,53.33731859139424,7.473422895130471e-171,3.0174692281378787e-167,378.7621550149217
RP11-64K7.1,4.213101988404289,-4.230749857889507,51.61132268416191,2.1835719871864024e-166,7.346991879553182e-163,368.56303616427977
MMP12,8.428155195287893,-1.6415078446521998,48.21758572628219,2.9017114236485255e-157,8.368535745802348e-154,348.7796621484961
EIF5AP4,5.364558205002773,-2.7987503709015553,46.07105157399993,3.0320605582490208e-151,7.651404818741404e-148,334.7537802631781
MISP,6.672160753528361,3.044160829900346,44.57969923801203,6.070844833581358e-147,1.361757950003783e-143,325.6116897355506
CST1,10.296974800800083,-0.37894199514175514,41.78721730195438,1.3005606876338835e-138,2.3868835601775308e-135,306.32201008172825
MMP11,7.652660691415925,4.422267331193934,41.163468680663144,1.0615767071465884e-136,1.6485469664519483e-133,302.083975789337
HNRNPCP2,3.2183403097531302,0.5855198574728036,40.62692912622815,4.850214488696026e-135,6.99400929269967e-132,298.19277178870857
CORO2A,5.220354497317215,2.670395829510452,40.39897466128948,2.484656015984509e-134,2.7866797583719596e-131,296.6302704654517
AP000349.2,9.096850790246691,-0.20743227637617154,40.30670766347308,4.821498879560009e-134,5.122969441081972e-131,295.86171571036755
CRIP1,5.120884519438999,4.046571742155044,40.13502355216122,1.6597713635238786e-133,1.675373214341003e-130,294.7433618222656
RPL37P6,4.937193435385841,-3.524944968180901,39.98867661466223,4.773637047843443e-133,4.58905641532683e-130,293.0883154466994
NTM,5.429384197682841,1.7627033824783687,39.57979798433954,9.255600015437082e-132,7.785502212985159e-129,290.704131463758
HRH1,4.366171543618262,1.4799520819428775,38.673696054478924,7.0785125227014e-129,5.2926300299368833e-126,284.0743384367937
CCR6,6.8173184416092925,-1.9861434765073853,38.182882447931206,2.6881749288542604e-127,1.8089625154569936e-124,280.22507482149337
RP11-10G12.1,4.08622308266396,-4.055000552067223,38.057103336358914,6.85864956291735e-127,4.466529592779854e-124,278.92189266159784
TSPAN1,5.694737454565541,4.436940314692777,37.99510811753776,1.0890270528047465e-126,6.870399419381945e-124,279.07072669101666
AOC1,7.372256022399256,1.651833155282194,37.8152323557824,4.176182340009284e-126,2.5548111842456794e-123,277.7136245750726
INHBA,6.194549217135697,2.729502025581058,37.66535136502098,1.2837086386457636e-125,7.622208822641375e-123,276.6057349440104
HNRNPA1P21,4.8811258969720335,-3.841373626801524,37.43596667715063,7.196407772529106e-125,4.0355855586616e-122,274.362276372511
FAM101A,6.222395440958437,0.9924008687252307,37.18967950257457,4.613148157104637e-124,2.3879547434776514e-121,273.00677775943245
POSTN,6.320406053358309,4.665914508279465,37.1215570311674,7.722203170341292e-124,3.89739594007125e-121,272.5161374407366
PTTG1,4.188971257282496,1.1201069797433991,36.77887251411463,1.039854220910557e-122,5.120140734571298e-120,269.9022254429183
LEF1,4.83083892502037,1.5093578061257409,36.76411443094876,1.1634378246677434e-122,5.59225781056962e-120,269.797064469075
FOXL1,6.393444991367545,0.6181360495122515,36.68477731254646,2.1287474198355e-122,9.994221607357925e-120,269.1763786427602
RP11-395B7.4,5.377488327434808,-3.0365755352133155,36.295330097337306,4.177582466956952e-121,1.9167507918847035e-118,265.9156295776364
PLAC8,5.407776537079706,1.7382397577354514,36.214983738923195,7.738253964908245e-121,3.4715526898570585e-118,265.61166019121885
TMPRSS4,9.639840925221758,1.9072441051181273,36.13083203117476,1.477096132969367e-120,6.482525376605561e-118,264.96801985007386
S100A6,5.2343883767152635,7.85779033100278,35.9445398368353,6.198698741536396e-120,2.553863881512995e-117,263.5097492885132
SEMA3C,4.4367900110042084,3.4001572175499772,35.80957283130419,1.7568581810333367e-119,6.954402540921764e-117,262.49678966390036
HNRNPA1P4,4.098437295881649,-3.6199574470481455,35.614629559497615,7.942262515975994e-119,3.083430686010065e-116,260.6117793854589
EPHX4,5.568367018638536,-1.9556907892777116,35.54566079294383,1.355927876226738e-118,4.9769949027755247e-116,260.30235757642066
MMP9,6.409474494193261,1.6768646684569428,35.48977617833548,2.092413113329798e-118,7.543149273553921e-116,260.0224785905257
CENPF,4.81874357695488,1.8452620109156912,35.481523401120874,2.230926441897334e-118,7.901393510354978e-116,259.9596638178331
COL10A1,8.045816181368146,2.1381265869318713,35.449008937780015,2.872081843944173e-118,9.996825563024995e-116,259.70876456914993
CTHRC1,5.531488025717819,3.295998342788389,35.2572469712194,1.2776199743994214e-117,4.228293777569758e-115,258.21574647393095
RP11-350J20.12,6.275650777259451,-3.0884044171279963,35.220040957865784,1.7076404548822356e-117,5.560297661800415e-115,257.6507134576501
IGHGP,8.331376017268296,-0.9444898696715057,34.90796273203138,1.9595372379536668e-116,6.181115274970098e-114,255.4292235486406
GNAI2,1.8453234889320216,7.088344390106746,34.892788194724545,2.2070748639354395e-116,6.854834977404408e-114,255.36723278212745
UBE2T,4.346627420010972,0.32326479543065195,34.876832599398,2.5012275696337705e-116,7.650724572085843e-114,255.2315128270622
IL2RG,5.089308218933664,2.988102862645355,34.86754196953688,2.6902856846720453e-116,8.106192149576008e-114,255.17381431727455
CCL18,7.5792731029304825,-0.3138463319154533,34.832511097993,3.541280738787709e-116,1.0361068920963228e-113,254.86831342355742
SULF1,5.495781067761847,5.162528127908779,34.79525638586991,4.744302079150524e-116,1.368256719627011e-113,254.60821973965116
UGT1A10,9.604289269105703,-0.7192121972828719,34.719228840534434,8.621928727364322e-116,2.4174930159448743e-113,253.96484414796498
GAPLINC,4.549275224023566,-3.4157946084172153,34.711722661121,9.146080463469587e-116,2.5293297588564934e-113,253.65020029790614
STRA6,6.275706232323436,0.9516496429279686,34.70889554471355,9.351672177340367e-116,2.5512372691371264e-113,253.92592300610855
OLFML2B,4.998745796036473,3.0617366764394145,34.5138362849926,4.34545871283217e-115,1.1393002661643617e-112,252.39471936577945
RP11-863P13.3,5.6673090547931135,-2.757371205786565,34.403840452224564,1.035507596578951e-114,2.5429497244587515e-112,251.32705443361846
CST4,5.9394077967382675,-3.4767219760144266,34.40262544319464,1.0454964688432554e-114,2.5429497244587515e-112,251.22242142988406
CDH3,5.312004125970231,3.092827764581126,34.35140801730662,1.5672811737173801e-114,3.7223849805889963e-112,251.11323859557493
NDC80,4.1636926141432395,0.33173466339887075,34.17042373490587,6.570315708451296e-114,1.5072901536615314e-111,249.67543687219796
PPAPDC1A,6.722579805570754,-0.9929785552960038,34.16580744860491,6.815311986857663e-114,1.545927172929017e-111,249.59687731510547
PCDH7,4.787857740201002,2.321972731476181,34.151327495478476,7.644786738213871e-114,1.71481060745624e-111,249.53557837899197
TPX2,5.383879969936974,1.5196591660546106,34.121202885961104,9.708970243771169e-114,2.1538977063873885e-111,249.29733307211262
BUB1,4.5877430175963605,0.5166075567778327,34.09155059150712,1.2285743948137394e-113,2.6959195524456273e-111,249.05389328370532
TSC22D1,1.798187993360223,6.765531289674856,34.06153836671272,1.55926238242871e-113,3.3847730082226655e-111,248.82366018705468
KIF4A,5.2059756484290185,0.1206987939154259,33.97169093130506,3.1850179406289133e-113,6.697827310980885e-111,248.09750178312044
NQO1,4.733010699260052,4.721607938318523,33.788031517593176,1.3757776065759591e-112,2.834101869546476e-110,246.6427557620348
C19orf33,6.344954295466925,2.811189398023776,33.71641474050052,2.4368515313465396e-112,4.969207950992317e-110,246.07499672946295
CEMIP,5.357738276876168,2.407530919027737,33.65705528562227,3.9158636667756993e-112,7.905345570486782e-110,245.60456445396642
CDK1,4.172914377992584,1.4226382610004007,33.6364866916502,4.615859898671112e-112,9.226235607363604e-110,245.44272888232268
