"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0001","Cell Line","H1703","Lung","Lung cancer","44254"
"Sample_0002","Cell Line","H1703","Lung","Lung cancer","82599"
"Sample_0003","Stem Cell","primed UCLA1 hESCs","Embryo","Normal","94678"
"Sample_0004","Stem Cell","primed UCLA1 hESCs","Embryo","Normal","105274"
"Sample_0005","Stem Cell","primed UCLA2 hESCs","Embryo","Normal","97253"
"Sample_0006","Stem Cell","primed UCLA2 hESCs","Embryo","Normal","127089"
"Sample_0007","Stem Cell","iMeLCs induced from primed UCLA1 hESCs","Embryo","Normal","31268"
"Sample_0008","Stem Cell","iMeLCs induced from primed UCLA1 hESCs","Embryo","Normal","65001"
"Sample_0009","Stem Cell","iMeLCs induced from primed UCLA2 hESCs","Embryo","Normal","24774"
"Sample_0010","Stem Cell","iMeLCs induced from primed UCLA2 hESCs","Embryo","Normal","67566"
"Sample_0011","Stem Cell","hPGCLCs induced from primed UCLA1 hESCs","Embryo","Normal","54344"
"Sample_0012","Stem Cell","hPGCLCs induced from primed UCLA1 hESCs","Embryo","Normal","92904"
"Sample_0013","Stem Cell","hPGCLCs induced from primed UCLA2 hESCs","Embryo","Normal","65085"
"Sample_0014","Stem Cell","cKIT/TNAP-sorted hPGCs from human embryonic gonad","Embryo","Normal","43618"
"Sample_0015","Stem Cell","cKIT/TNAP-sorted hPGCs from human embryonic gonad","Embryo","Normal","3470"
"Sample_0016","Stem Cell","cKIT/TNAP-sorted hPGCs from human embryonic gonad","Embryo","Normal","21508"
"Sample_0017","Stem Cell","cKIT/TNAP-sorted hPGCs from human embryonic gonad","Embryo","Normal","19201"
"Sample_0018","Stem Cell","Liver cell","Embryo","Normal","15150"
"Sample_0019","Stem Cell","Lung cell","Embryo","Normal","19420"
"Sample_0020","Stem Cell","Skin cell","Embryo","Normal","24109"
"Sample_0021","Stem Cell","Heart cell","Embryo","Normal","12210"
"Sample_0022","Stem Cell","primed UCLA1 hESCs","Embryo","Normal","15922"
"Sample_0023","Stem Cell","primed UCLA1 hESCs","Embryo","Normal","19141"
"Sample_0024","Stem Cell","primed UCLA1 hESCs","Embryo","Normal","22345"
"Sample_0025","Primary Cell","CD56Bright natural killer cell","Blood","Normal","48025"
"Sample_0026","Primary Cell","CD56Bright natural killer cell","Blood","Normal","50447"
"Sample_0027","Primary Cell","CD56Bright natural killer cell","Blood","Normal","47349"
"Sample_0028","Primary Cell","CD56Bright natural killer cell","Blood","Normal","46698"
"Sample_0029","Primary Cell","CD56Dim natural killer cell","Blood","Normal","40745"
"Sample_0030","Primary Cell","CD56Dim natural killer cell","Blood","Normal","35916"
"Sample_0031","Primary Cell","CD56Dim natural killer cell","Blood","Normal","34589"
"Sample_0032","Tissue","Hematologic malignancy","Blood","Leukemia","71117"
"Sample_0033","Tissue","Hematologic malignancy","Blood","Leukemia","70206"
"Sample_0034","Tissue","Hematologic malignancy","Blood","Leukemia","71638"
"Sample_0035","Other","DP3 minus sorted B cell","Other","Normal","32052"
"Sample_0036","Tissue","nucleus accumbens","Brain","Normal","55776"
"Sample_0037","Tissue","prefrontal cortex","Brain","Normal","30721"
"Sample_0038","Tissue","prefrontal cortex","Brain","Normal","36031"
"Sample_0039","Tissue","prefrontal cortex","Brain","Normal","64855"
"Sample_0040","Tissue","nucleus accumbens","Brain","Normal","72187"
"Sample_0041","Tissue","prefrontal cortex","Brain","Normal","66056"
"Sample_0042","Tissue","prefrontal cortex","Brain","Normal","45805"
"Sample_0043","Tissue","prefrontal cortex","Brain","Normal","81658"
"Sample_0044","Tissue","nucleus accumbens","Brain","Normal","68643"
"Sample_0045","Tissue","prefrontal cortex","Brain","Normal","127700"
"Sample_0046","Tissue","prefrontal cortex","Brain","Normal","145111"
"Sample_0047","Tissue","prefrontal cortex","Brain","Normal","116878"
"Sample_0048","Tissue","nucleus accumbens","Brain","Normal","108402"
"Sample_0049","Tissue","nucleus accumbens","Brain","Normal","42790"
"Sample_0050","Tissue","nucleus accumbens","Brain","Normal","160788"
"Sample_0051","Tissue","nucleus accumbens","Brain","Normal","134755"
"Sample_0052","Tissue","nucleus accumbens","Brain","Normal","44883"
"Sample_0053","Tissue","nucleus accumbens","Brain","Normal","110130"
"Sample_0054","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","16233"
"Sample_0055","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","16420"
"Sample_0056","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","11332"
"Sample_0057","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","21424"
"Sample_0058","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","22601"
"Sample_0059","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","26768"
"Sample_0060","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","35076"
"Sample_0061","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","20033"
"Sample_0062","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","24538"
"Sample_0063","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","27629"
"Sample_0064","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","32906"
"Sample_0065","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","23634"
"Sample_0066","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","19089"
"Sample_0067","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","22653"
"Sample_0068","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","12677"
"Sample_0069","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","9941"
"Sample_0070","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","10959"
"Sample_0071","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","8463"
"Sample_0072","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","19405"
"Sample_0073","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","23131"
"Sample_0074","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","19739"
"Sample_0075","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","15394"
"Sample_0076","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","21926"
"Sample_0077","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","24415"
"Sample_0078","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","15403"
"Sample_0079","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","14942"
"Sample_0080","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","19763"
"Sample_0081","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","15954"
"Sample_0082","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","15281"
"Sample_0083","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","13396"
"Sample_0084","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","20648"
"Sample_0085","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","22521"
"Sample_0086","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","21971"
"Sample_0087","Induced pluripotent stem cell line","Forebrain neurons","Forebrain","Normal","14780"
