Raw counts of sequencing reads (TPM)																
		Sample name														
		Donor1_M0	Donor1_M1	Donor1_M2IL10	Donor1_M2IL4	Donor1_TAMlike	Donor2_M0	Donor2_M1	Donor2_M2IL10	Donor2_M2IL4	Donor2_TAMlike	Donor3_M0	Donor3_M1	Donor3_M2IL10	Donor3_M2IL4	Donor3_TAMlike
		Sample number														
		Sp1_M0	Sp1_M1	Sp1_M2IL10	Sp1_M2IL4	Sp1_TAMlike	Sp2_M0	Sp2_M1	Sp2_M2IL10	Sp2_M2IL4	Sp2_TAMlike	Sp3_M0	Sp3_M1	Sp3_M2IL10	Sp3_M2IL4	Sp3_TAMlike
ID	symbol															
ENSG00000000003	TSPAN6	0.04	0.05	0.04	0.12	0.19	0.04	0.08	0.04	0.07	0.03	0.04	0.11	0.04	0.06	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	32.95	41.96	31.75	43.67	30.46	43.65	39.18	36.03	59.31	30.26	38.06	39.42	23.36	43.51	17.36
ENSG00000000457	SCYL3	5.62	5.91	5.27	4.61	5.09	4.58	10.07	4.48	3.87	5.17	4.96	10.01	4.6	4.44	4.2
ENSG00000000460	C1orf112	8.23	5.59	7.95	5.58	3.65	6.84	1.68	5.86	3.49	5.04	7.9	2.56	5.28	2.91	4.69
ENSG00000000938	FGR	16.15	20.25	23.34	42.27	20.2	65.6	8.94	37.44	106.21	20.52	101.31	28.55	53.41	137.27	33.73
ENSG00000000971	CFH	3.01	4.44	3.94	3.26	3.11	3.88	13.95	5.98	2.06	10.22	2.2	8.6	3.7	0.88	2.74
ENSG00000001036	FUCA2	70.1	76.35	67.08	84.52	58.05	83.02	48.02	79.34	90.08	63.57	65.41	58.86	51.82	62.04	52.09
ENSG00000001084	GCLC	169.28	79.76	86.03	50.53	54.98	153.57	19.89	46.07	119.86	50.82	332.71	37.65	122.22	175.23	90.41
ENSG00000001167	NFYA	9.93	10.08	9.04	9.1	11.12	8.86	8.96	9.09	9.84	9.15	9.65	9.86	8.32	12.29	6.16
ENSG00000001460	C1orf201	1.62	1.12	1.12	0.97	1.47	1.76	1.57	1.57	0.75	1.05	1.02	0.91	0.95	0.8	1.11
ENSG00000001461	NIPAL3	3.93	3.31	2.78	2.15	3.51	3.43	5.92	1.91	2.4	3.19	2.5	5.37	2.67	2.07	3.23
ENSG00000001497	LAS1L	7.6	5.01	6.71	9.98	4.39	5.93	5.74	4.35	8	4.96	6.62	3.58	4.24	7.67	4.96
ENSG00000001561	ENPP4	10.72	8.28	11.8	8.08	8.76	10.26	16.04	15.76	7.98	6.64	11.35	19.39	15.74	8.44	6.27
ENSG00000001617	SEMA3F	0	0	0	0	0.03	0.01	0.07	0	0.11	0	0	0.08	0.03	0	0.07
ENSG00000001626	CFTR	2.38	2.26	4.46	3.52	6.59	2.35	7.91	5.03	8.87	1.63	8.2	2.9	6.27	10.79	6.2
ENSG00000001629	ANKIB1	18.37	27.25	17.74	18.39	19.28	13.43	45.85	15.71	12.92	17.08	11.71	41.58	14.75	15.34	12.11
ENSG00000001630	CYP51A1	95.69	71.85	78.61	74.82	21.85	104.02	72.5	84.6	118.39	21.46	71.71	32.93	55.59	113.62	14.03
ENSG00000001631	KRIT1	17.24	17.91	15.7	14.25	19.74	16.76	18.53	12.8	14.64	18.87	15.55	22.32	14.84	14.48	14.06
ENSG00000002016	RAD52	4.05	6.52	4.73	7.04	5.41	4.69	7.87	3.56	5.02	4.24	6.8	6.27	4.72	6.08	5.98
ENSG00000002079	MYH16	0	0.02	0	0	0.12	0.08	0.08	0.31	0	0	0.19	0.06	0.03	0	0.23
ENSG00000002330	BAD	19.85	18.51	24.08	14.53	25.51	22.33	6.94	17.91	11.5	28.24	19.77	14.61	24.09	14.39	28.05
ENSG00000002549	LAP3	90.71	442.33	160.54	107.26	36.27	78.04	825.89	263	98.48	36.12	81.37	797.87	223.89	187.73	42.94
ENSG00000002586	CD99	174.83	78.58	151.19	121.26	116.17	157.9	54.53	132.53	109.08	140.28	109.48	61.13	137.53	90.2	148.22
ENSG00000002587	HS3ST1	7.89	12.93	8.66	10.22	9.6	4.26	0.34	9.32	2.89	5	1.61	0.22	3.78	3.23	4.8
ENSG00000002726	ABP1	0.75	0.18	0.27	0.58	0.34	5.89	0.88	5.61	2.65	0.97	0.89	0.78	0.93	1.24	0.41
ENSG00000002745	WNT16	0.02	0	0	0.04	0.04	0.03	0.05	0.03	0	0.04	0.04	0.06	0.01	0.01	0.04
ENSG00000002746	HECW1	0	0.14	0	0	0.51	0	0.36	0	0.49	0.09	0	0.01	0.09	0.01	0.14
ENSG00000002822	MAD1L1	30.38	23.22	23.37	37.84	24.64	34.88	9.88	28.38	23.23	33.73	28.25	13.26	22.26	27.15	29.62
ENSG00000002834	LASP1	99.84	113.81	81.83	90.43	67.89	95.12	38.1	79.9	84.6	57.56	95.99	49.66	78.38	107.7	63.87
ENSG00000002919	SNX11	62.91	66.3	73.08	68.21	45.2	47.08	86.08	62.66	31.17	41.49	38.43	56.06	46.55	28.5	37.13
ENSG00000002933	TMEM176A	174.4	449.52	351.81	128.88	208.66	46.74	135.82	150.44	25.19	31.48	52.17	214.46	181.8	32.82	68.65
ENSG00000003056	M6PR	628.34	647.06	512.47	813.48	574.5	746.94	692.84	619.13	881.58	589.33	639.7	728.3	536.54	1090.37	506.55
ENSG00000003096	KLHL13	2.41	0.05	0.47	0.38	0.06	4.35	0.02	1.25	0.3	2.75	1.03	0	0.71	0.28	2.6
ENSG00000003137	CYP26B1	0	0	0	0	0	0.06	0	0	0	0.01	0.03	0	0.11	0.01	0.08
ENSG00000003147	ICA1	8.16	4.74	7.66	4.65	2.18	5.8	4.94	9.65	4.14	6.17	6.1	4.18	6.12	4.01	4.92
ENSG00000003249	DBNDD1	0.02	0	0.08	0.05	0.03	0	0	0.04	0.02	0	0.03	0.01	0.07	0.02	0.02
ENSG00000003393	ALS2	12.04	13.99	11.97	10.21	9.02	10.39	6.58	10.69	8.42	11.23	7.75	10.54	9.9	9.23	7.36
ENSG00000003400	CASP10	15.43	9.75	10.76	12.75	14.27	13.45	31.23	10.95	6.89	19.14	12.54	22.91	8.69	6.78	14.63
ENSG00000003402	CFLAR	94.42	148.42	78.52	68.88	115.05	98.97	894.77	65.33	227.29	99.36	94.18	531.54	85.14	215.6	79.4
ENSG00000003436	TFPI	8.35	6.81	3.56	2.32	38.55	6.52	5.34	4.38	6.1	29.94	5.92	13.35	6.95	8.69	16.46
ENSG00000003509	C2orf56	12.96	10.88	8.83	9.53	15.54	9.46	8.23	7.36	10.03	12.43	11.01	10.27	9.05	10.06	8.6
ENSG00000003756	RBM5	99.68	99.62	101.65	82.83	119.53	83.55	114.37	82.3	68.84	122.81	84.88	123.9	95.59	78.33	103.14
ENSG00000003987	MTMR7	0.45	0.4	0.33	0.59	0.42	0.4	0.26	0.53	0.27	0.34	0.4	0.33	0.33	0.69	0.28
ENSG00000003989	SLC7A2	0	0	0	0.01	0	0.01	0.01	0	0.03	0	0.03	0.01	0	0.1	0
ENSG00000004059	ARF5	57.38	59.5	77.45	49.74	53.54	58.24	24.96	67.81	34.02	56.98	59.29	29.32	76.62	33.66	63.85
ENSG00000004139	SARM1	3.03	5.2	5.3	1.71	7.63	1.59	2.91	3.49	1.14	3.08	1.79	2.49	2.97	0.49	3.92
ENSG00000004142	POLDIP2	20.46	17.11	21.59	25.37	14.78	20.31	9.66	20.36	21.53	15.61	19.85	11.28	19.49	22.29	16.86
ENSG00000004399	PLXND1	418.63	482.3	441.35	230.14	341.88	307.53	221.38	418.88	216.2	323.46	292.76	251.66	457.51	197.01	421.33
ENSG00000004455	AK2	49.42	53.44	67.34	101.84	100.67	69.32	218.66	61.51	59.69	49.1	67.44	99.15	28.08	68.66	26.52
ENSG00000004468	CD38	4.59	164.56	4.66	2.21	37.31	4.13	824.75	9.33	5.68	27.42	4.07	619.8	5.17	7.36	23.56
ENSG00000004478	FKBP4	60.33	100.52	88.88	101.47	71.82	43.01	34.94	37.88	54.76	44.51	29.66	44.04	33.28	59.7	61.38
ENSG00000004487	KDM1A	28.21	22.84	21.88	27.23	31.91	21.74	17.31	21.06	21.07	30.39	22.71	22	18.01	19.32	23.3
ENSG00000004534	RBM6	38.76	35.63	39.85	40.7	57.52	39.64	58.28	40.5	40.71	60.3	39.77	51.76	29.64	35.59	47.59
ENSG00000004660	CAMKK1	0.76	0.72	0.46	2.34	3.91	2.32	0.04	0.91	1.58	3.46	2.06	0.14	0.57	1.24	2.98
ENSG00000004700	RECQL	44.34	44.51	44.54	53.91	30.44	45.39	44.5	43.58	42.77	27.05	40.99	44.88	32.74	35.08	18.88
ENSG00000004766	CCDC132	21.95	21.84	20.36	26.1	13.77	24.19	23.3	23.16	24.13	18.35	22.02	18.58	19.78	20.53	10.94
ENSG00000004776	HSPB6	0	0	0	0	0.03	0	0.01	0	0	0	0.08	0	0.04	0.01	0.09
ENSG00000004777	ARHGAP33	2.31	1.86	5.43	0.5	4.14	1.47	3.01	7.64	0.35	4.4	11.94	5.37	16.56	1.69	16.24
ENSG00000004779	NDUFAB1	42.57	39.61	48.21	75.89	26.44	60.68	26.51	50.44	81.54	36.64	61.76	29.18	38.61	64.05	32.53
ENSG00000004799	PDK4	3.72	0.63	1.15	0.19	2.94	6.8	0.1	2.31	0.56	9.9	3.1	0.19	3.24	0.38	8.57
ENSG00000004809	SLC22A16	1.32	1.53	2.46	2.97	4.36	1.44	0.82	2.5	1.8	4.56	1.56	0.7	1.4	2.96	2.15
ENSG00000004838	ZMYND10	0.26	0.54	0.23	0.34	0.55	0.46	0.04	0.13	0.1	0.77	0.47	0.12	0.37	0.47	0.8
ENSG00000004846	ABCB5	0.07	0.05	0.16	0.03	0.09	0.25	0.07	0.11	0.22	0.06	0.04	0.38	0.16	0.14	0.24
ENSG00000004848	ARX	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
ENSG00000004864	SLC25A13	9.52	11.85	15.44	21.01	9.18	11.46	7.17	12.88	12.92	7.4	19.07	9.01	10.91	22.59	8.61
ENSG00000004866	ST7	14.19	7.01	7.96	25.46	6.34	14.44	12.95	10.8	36.17	12.46	17.74	11.94	7.85	33.95	13.05
ENSG00000004897	CDC27	35.54	47.88	49.33	56.89	30.77	38.76	61.35	42.83	47.47	31.54	40.52	55.39	38.24	55.21	29.78
ENSG00000004939	SLC4A1	0.14	0.24	0.22	0.27	0.49	0.23	0.6	0.31	0.36	0.49	0.31	0.27	0.24	0.28	0.17
ENSG00000004948	CALCR	0.36	0.21	0.17	0.12	0.99	0.18	0	0.1	0.12	0.97	0.22	0.04	0.36	0.06	0.59
ENSG00000004961	HCCS	17.18	14.66	17.55	21.21	16.35	18.22	9.09	16.77	20.77	13.12	15.65	9.32	15.1	23.89	9.51
ENSG00000004975	DVL2	14.11	13.82	16.38	12.69	15.21	14.32	9.83	14.46	10.11	14.9	10.56	8.9	14.82	9.54	17.5
ENSG00000005001	PRSS22	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.1	0
ENSG00000005007	UPF1	26.48	23.93	27.17	25.01	19.51	19.48	24	19.66	20.04	16.98	13.83	23.03	17.47	25.62	18.46
ENSG00000005020	SKAP2	88.12	82.53	99.2	90.89	67.98	100.1	20.47	104.04	79.34	55.75	78.22	31.66	64.88	86.05	40.19
ENSG00000005022	SLC25A5	248.52	137.15	160.21	372.93	77.33	313.18	78.4	226.17	435.66	248.89	310.05	99.46	212.12	393.3	258.21
ENSG00000005059	CCDC109B	34.45	47.89	34.88	13.69	21.8	28.01	9.67	30.82	7.01	22.79	21.09	10.47	28.9	4.04	18.3
ENSG00000005073	HOXA11	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075	POLR2J	17.1	14.29	19.27	18.44	17.82	14.88	8.33	15.78	15.94	18.03	16.68	12.25	17.42	15.99	18.97
ENSG00000005100	DHX33	3.35	3.32	3.36	3.82	2.31	2.8	2.42	2.73	3.45	2.56	2.35	2.05	1.98	2.79	2.45
ENSG00000005102	MEOX1	0	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0
ENSG00000005108	THSD7A	0	0	0	0	0	0	0	0	0	0	0.07	0	0.03	0	0
ENSG00000005156	LIG3	24.79	22.13	8.12	28.39	2.18	23.19	24.4	32.12	42.66	9.39	23.53	13.25	5.15	19.89	10.78
ENSG00000005175	RPAP3	18.58	21.39	18.07	20.83	10.79	19.44	33.35	18.51	22.91	15.18	18.76	25.3	12.37	24.4	10.85
ENSG00000005187	ACSM3	1.22	1.8	0.6	0.97	1.18	0.58	1.56	0.75	0.44	2.47	1.49	1.12	1.37	1.64	1.17
ENSG00000005189		1.24	1.57	1.62	2.22	1.64	3.34	3.57	2.45	2.94	2.3	3.09	3.52	1.83	2.3	2.87
ENSG00000005194	CIAPIN1	37.03	31.85	33.7	48.19	19.59	30.85	41.18	36.08	46.65	27.31	33.29	37.14	23.17	59.56	25.17
ENSG00000005206	SPPL2B	4.86	6.51	7.23	5.43	7.6	5.44	2.92	4.28	3.15	5.94	6.97	4.14	6.86	3.32	8.95
ENSG00000005238	FAM214B	11.86	17.43	16.49	14.34	15.78	15.17	10.79	13.59	12.8	13.65	15.89	15.33	18.13	17.18	13.74
ENSG00000005243	COPZ2	28.15	2.85	10.86	9.06	7.09	13.43	1.82	7.98	44.48	6.71	8.83	2.42	5.35	5.59	8.52
ENSG00000005249	PRKAR2B	5.33	7.06	7.51	3.82	2	7.3	9.66	6.65	5.78	2.45	3.34	8.6	4.95	6.04	2.28
ENSG00000005302	MSL3	31.46	44.1	37.55	30.98	36.5	26.99	33.41	39.03	19.89	40.11	31.13	44.17	39.11	19.68	22.74
ENSG00000005339	CREBBP	30.04	44.77	26.46	30.83	33.89	26.84	43.67	22.7	24.27	26.61	24.41	39.27	27.13	37.39	27.8
ENSG00000005379	BZRAP1	0.13	0.36	0.05	0.35	0.14	0.04	0.17	0.24	0.08	0.45	0.47	0.18	0.44	0.27	0.53
ENSG00000005381	MPO	2.06	2.35	2.63	0.16	10.68	2.38	0.37	0.42	0.13	7.41	0.17	1.44	1.7	1.34	15.47
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0
ENSG00000005436	GCFC2	5.93	8.84	5.52	8.12	5.48	7.85	5.83	7.32	12.94	8.16	9.9	6.29	5.43	10.88	6.12
ENSG00000005448	WDR54	1.39	2.03	2.05	1.42	14.04	0.49	1.99	0.61	0.45	0.98	0.7	2.53	0.59	0.55	0.75
ENSG00000005469	CROT	8.73	8.21	7.71	8.4	4.7	8.28	4.72	7.92	5.9	5.26	5.53	4.41	5.81	4.77	3.86
ENSG00000005471	ABCB4	4.64	2.16	4.46	16.3	3.2	2.03	0.51	2.15	7.27	0.47	2.09	0.49	2.65	8.49	1.2
ENSG00000005483	MLL5	32.95	44.13	34.3	33.23	52.87	32.76	45.85	32.45	33.78	33.5	36.65	57.15	31.87	33.5	23.59
ENSG00000005486	RHBDD2	64.4	46.35	65	70.06	89.32	28.4	24.75	14.59	33.16	67.35	35.35	44.54	60.42	36.53	89.86
ENSG00000005513	SOX8	0	0	0	0.01	0	0	0	0	0.13	0.01	0	0	0.02	0.14	0
ENSG00000005700	IBTK	26.07	23.05	22.41	31.38	13.86	24.73	22.15	21.91	34.38	11.94	21.3	19.8	15.53	41.5	9.07
ENSG00000005801	ZNF195	10.92	12.21	9.16	14.78	10.68	9.91	13.87	9.18	13.51	9.65	10.13	10.3	6.28	11.08	6.6
ENSG00000005810	MYCBP2	39.82	47.08	37.68	34.95	34.9	36.87	37.41	32.16	24.02	32.36	41.25	41.17	32.02	33.66	31.38
ENSG00000005812	FBXL3	23.53	41.12	30.21	25.24	29.02	31.82	43.69	31.69	30.9	26.62	34.05	55.23	28.58	26.8	16.99
ENSG00000005844	ITGAL	31.88	131.83	58.25	15.86	8.76	29.21	10.63	38.5	10.14	6.12	35.25	31.34	38.64	5.14	9.49
ENSG00000005882	PDK2	14.28	7.99	7.88	7.09	10.81	10.5	3.26	8.02	5.75	15.85	13.43	5.37	21.72	4.15	25.44
ENSG00000005884	ITGA3	1.62	0.54	0.87	0.76	3.12	24.18	1.93	3.29	19.88	4.9	57.09	5.05	14.63	59.39	16.38
ENSG00000005889	ZFX	15.78	20.02	16.24	18.32	19.91	11.11	26.79	9.95	9.21	16.08	17.33	22.69	8.65	9.36	7.61
