"","HET_DMSO_1","HET_DMSO_2","HET_DMSO_3","HET_DMSO_4","HET_ETOPO_1","HET_ETOPO_2","HET_ETOPO_3","HET_ETOPO_4","HOM_DMSO_1","HOM_DMSO_2","HOM_DMSO_3","HOM_DMSO_4","HOM_ETOPO_1","HOM_ETOPO_2","HOM_ETOPO_3","HOM_ETOPO_4","KO_DMSO_1","KO_DMSO_2","KO_DMSO_3","KO_DMSO_4","KO_ETOPO_1","KO_ETOPO_2","KO_ETOPO_3","KO_ETOPO_4","PAR_DMSO_1","PAR_DMSO_2","PAR_DMSO_3","PAR_DMSO_4","PAR_ETOPO_1","PAR_ETOPO_2","PAR_ETOPO_3","PAR_ETOPO_4"
"A1BG",8.10685216676492,8.03107715484231,8.29279853447897,8.07938892564608,7.64277590035122,7.60280991555474,7.78820140569893,7.78989526241614,8.85284490829268,9.22725613446886,8.81453434238998,9.45697591172619,8.55054997001529,8.32884732489011,8.4856321418885,8.56739781197911,8.45610041137374,8.5947789456151,8.55562468339884,8.5279890386971,8.18145209180145,8.44722857628586,8.25796469849934,8.00701608159908,8.71192408090984,8.58241592207795,8.76454655795546,8.56930358494786,8.57072301823295,8.36451429724545,8.33478372705867,8.33965349749604
"A1CF",4.92735610541818,4.92537106047988,4.71642591407183,4.9303114338013,5.69653198252102,5.57421319739615,5.67139864573264,5.19782094957406,4.42585021586179,4.42585021586179,4.42585021586179,4.87749071359426,5.36801140109835,5.15961292369231,5.35381629542568,4.92044427025729,4.42585021586179,4.98019996110515,4.94841501441211,5.22014955199361,5.01923118270464,5.23533834621492,5.15971598002658,5.05876095890856,4.42585021586179,4.42585021586179,4.85668058281414,4.42585021586179,5.26932028194779,5.52315413569435,5.13018350812951,5.10274416969239
"A2M",9.17339488576281,9.16703663189211,9.06017552450807,9.02720324221945,7.07943860984245,7.04164187539241,6.7729660571843,7.02271573662525,8.80958465880624,9.36122320731605,9.0381753059324,9.04560120114929,7.84632206941876,7.87138530630975,7.80384280096803,8.05385979621568,7.55070910026672,6.87310033769441,7.65317114680063,7.62692361571602,6.40156323224795,6.41496227617057,6.31072073767047,6.35585121541952,8.96728204304265,9.79211417411048,9.29317564190165,9.61270655204004,8.46459016893497,8.36451429724545,8.26263166535934,8.36104840918964
"A2ML1",5.07116319072633,4.71520621980911,4.92746275418328,4.83843521152867,5.66768672391916,6.06243833490455,5.55277522695579,5.56763754561479,4.87461941151358,4.42585021586179,4.83638597496795,4.87749071359426,5.32918691748137,5.25538116178947,5.35381629542568,5.22714082197064,5.03531842031005,4.87939454727421,4.85329373972136,4.88827115034937,5.15009497201705,5.23533834621492,4.82112335813935,5.26973268614812,4.94918009933937,4.42585021586179,4.42585021586179,4.42585021586179,5.57134223961008,5.34538535226072,5.41250854903428,5.3747316179716
"A2MP1",5.65664414604123,5.89520998362764,5.45344699590693,5.77955665342119,5.47401412812515,5.4928343794401,5.41695815191929,5.62613869735505,5.19706344151106,4.42585021586179,5.23889282780015,5.20192166345887,5.73652946559996,5.67145656201631,5.58251973517501,5.47618476326684,5.37924266774477,5.2659331744396,5.41261729408663,5.62014968115294,5.58921745911007,5.52230551582862,5.61410527601524,5.53929566434333,5.41402330343393,5.49636095373139,5.22461684405224,5.68245109538412,5.39538839486895,5.73884863314703,5.48828306206362,5.6485388053016
"A3GALT2",4.42585021586179,4.42585021586179,4.83609763981698,4.42585021586179,4.82947220351568,4.42585021586179,4.42585021586179,4.81527358915454,4.74381493635865,4.42585021586179,4.42585021586179,4.42585021586179,4.70226466015507,4.42585021586179,4.42585021586179,4.42585021586179,4.73227906081427,4.74721195816052,4.42585021586179,4.42585021586179,4.8469017684555,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.71806549703537,4.42585021586179,4.42585021586179,4.42585021586179,4.73697337956034,4.83517343940229,4.73078273785409
"A4GALT",6.83476413166002,6.42979315241325,6.82367795960303,6.68801982369388,6.63365483697867,6.78885587292819,6.97903899139784,6.87075896601853,4.42585021586179,5.17793435794953,4.83638597496795,4.87749071359426,5.40509510840928,5.61394385036791,5.35381629542568,5.57812160054503,5.22774689122644,5.06467160771862,4.42585021586179,4.99100481317069,5.58921745911007,5.52230551582862,5.41714208112357,5.26973268614812,6.86066254365835,6.39934167532845,6.54007805051623,6.69920811253316,6.33900409026353,6.30941233628355,6.4638042991545,6.53845140709149
"A4GNT",4.83601012841556,4.42585021586179,4.71642591407183,4.83843521152867,4.82947220351568,5.0511047603094,4.98302368379833,4.70163077853455,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.70574617815254,4.69796923727191,4.71233373780963,4.42585021586179,4.42585021586179,4.72864906396572,4.42585021586179,4.9406278589708,4.71533070100684,4.70578620775423,4.9928373410671,4.42585021586179,4.42585021586179,4.42585021586179,4.739727080468,4.7105660964357,4.42585021586179,4.83517343940229,4.85629473630274
"AAAS",11.1950635170528,11.1108787024009,11.5844050581572,11.1907313382717,10.2759021380641,10.3091966179712,10.4672817310529,10.3363537902128,12.1689940142923,12.7527546073906,13.1699168415747,13.7385829279192,10.9392562948549,10.9013014490947,11.1357588531306,11.3304175361605,11.8213118153623,12.1384407813172,11.8868775301684,12.174289604428,11.2020308730261,11.2907361722941,11.1978858664173,10.9992648825069,12.0725267095344,11.6485812505995,11.6960875346336,12.1501326551363,10.8309249046149,10.5942428462046,10.9176622894775,10.9027156844604
"AACS",10.1615603975013,9.89957820342338,10.1785925661865,10.1275758227265,9.92755911296349,9.80974174390051,10.0142536370567,9.94818555296414,10.1994168352731,10.5483403135544,10.4300519403833,10.8500018197218,9.5642285123662,9.40115962408873,9.61620130690897,9.79254673773836,9.92919196736626,10.0321123377012,10.0464217171447,10.1958466234907,9.67550511053193,9.66637220895653,9.5988698359135,9.66769424820975,10.0889185129669,9.91362338827598,10.092904517499,10.0258240373946,9.8469941716688,9.79833466008372,9.89310782808414,9.68662538990304
