"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINF1",372.419330379933,3.76951439875602,0.129476909765472,29.1134103029176,2.42863884199251e-186,5.14628570618213e-182
"TP53",1589.59327951417,3.43044568668834,0.121955315791421,28.1287098018375,4.36582257338065e-174,4.6255890164968e-170
"GLUL",272.534063862767,4.14136592306637,0.150089160698566,27.5927049214683,1.36121291819397e-167,9.61470057884338e-164
"UBAC2",705.729687519559,-1.97283089518904,0.0916574402513195,-21.5239580090786,9.28848447378992e-103,4.92057464999021e-99
"HOXB2",184.261577316839,6.67506159235456,0.312732602977476,21.3443098954263,4.40417214083892e-101,1.86648815328753e-97
"TGM2",2231.00978984266,3.31179310214681,0.156780690151866,21.1237308557503,4.81388504344167e-99,1.70010373450882e-95
"IGFBP4",1147.44272121993,10.7802783950936,0.517880172178884,20.8161636112416,3.08953134631433e-96,9.35245274691439e-93
"CAMK1",588.520411061898,3.34484392812427,0.169597488881146,19.7222491334664,1.38911827897147e-86,3.67942704142568e-83
"PLAT",1762.19093379396,1.02281167827712,0.0533781399454474,19.1616208305953,7.74242720273282e-82,1.82291147139898e-78
"H2AFJ",307.478856502264,-5.08355594036872,0.265466940142111,-19.149487833202,9.77432948147743e-82,2.07118041712507e-78
"CT45A1",292.714695896779,4.62516452715884,0.242797458454943,19.0494766979496,6.63622538024979e-81,1.27837832552267e-77
"SGK1",1046.16542029929,-1.55702085496819,0.0817964465613057,-19.0353116843678,8.69735474641035e-81,1.53580789230363e-77
"PLAC8",275.510630791279,2.06946714305484,0.114569682513237,18.0629560775447,6.23902727794643e-73,1.01696144630527e-69
"KRT14",733.048725469286,-3.07673504302207,0.177786185816277,-17.3058161346773,4.25212826082927e-67,6.43589984621231e-64
"PCOLCE",4274.30132297909,2.96305031406187,0.178619478121896,16.5886181351386,8.42362511981017e-62,1.18997744192518e-58
"SLC38A3",265.938735609179,4.9045554208003,0.300849058665708,16.3023791483757,9.49240769746844e-60,1.25715074443348e-56
"EPOP",92.9564861287136,5.37097373692083,0.329948424852264,16.2782220867571,1.40903480149172e-59,1.75632043785938e-56
"OS9",3581.05234885832,1.00289310509797,0.0618144793827003,16.2242425255893,3.39884680895657e-59,4.00119799343276e-56
"C1QTNF1",103.517322962056,3.68900704122703,0.227821529436642,16.1925304002182,5.69381496077339e-59,6.35010205362043e-56
"FAXDC2",100.734350208245,2.41730740768079,0.152193071359116,15.8831633141623,8.28905096612204e-57,8.78224949860631e-54
"WDR45B",2999.81877582869,-0.853559996492868,0.0549696890339745,-15.5278301822904,2.24860359333538e-54,2.26894810203699e-51
"DYRK1B",142.425773381828,4.03153737068183,0.260395342639552,15.4823712659962,4.56337484012157e-54,4.39535967555346e-51
"CEBPD",540.044366143485,1.45434546156957,0.0960173917744448,15.1466878519882,7.96823398530756e-52,7.34116861515945e-49
"SHROOM2",441.127505050319,1.85300490788318,0.122764993889198,15.0939192776371,1.77573547793282e-51,1.56782644905818e-48
"RFPL4A",1055.72795328229,1.67632196545986,0.111169062924987,15.0790329733281,2.22503981770336e-51,1.88594374948537e-48
"PCDH7",1001.29605568135,1.57741138482936,0.104826707302983,15.0478005597384,3.56904189885354e-51,2.90876914756563e-48
"NMB",275.206490712667,8.24869878297807,0.551576903573248,14.9547574047083,1.45009177515506e-50,1.1380535079828e-47
"RFPL4AL1",235.058163485525,3.45355237989167,0.233672284422205,14.7794694113218,1.98725508046488e-49,1.50392625553753e-46
"PDGFB",360.603392040279,-1.88843614725574,0.12824628211105,-14.7250751925933,4.44974461284553e-49,3.25138235676541e-46
"TINAGL1",1884.46289411996,-1.66712334842671,0.113645122256653,-14.6695547976245,1.01005596850611e-48,7.13436199088151e-46
"SLN",116.243372867583,3.77902185416838,0.262505258709408,14.3959853328186,5.48377340449596e-47,3.7484244658474e-44
"GLMP",337.967603987484,-5.00267089170588,0.355411100306269,-14.0757305762114,5.35486232989397e-45,3.54592289907666e-42
"RBFOX3",136.77905526291,3.30199108058878,0.236979884492205,13.9336344418608,3.95696231797322e-44,2.54084943993492e-41
"IGFBP7",1289.78531936222,-1.54853280509733,0.111277827025998,-13.9159152050619,5.07066878976915e-44,3.16021975456495e-41
"CHDH",91.2538728797238,5.12323263446377,0.371360237646981,13.7958567317968,2.69926899041454e-43,1.63421456876812e-40
"ANXA8",329.375171893002,-3.58819849021086,0.26180816441117,-13.7054491722252,9.41826603497957e-43,5.54369603558936e-40
"COL3A1",3328.60406548992,1.32569899941452,0.096859194128055,13.6868679462876,1.2164051413195e-42,6.96638512015142e-40
"ECM1",3256.67423499777,2.35692618665156,0.172360381358514,13.67440805175,1.44377396811435e-42,8.05093957482715e-40
