"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLUL",272.534063862767,4.09814698135083,0.120652068945022,33.9666531803797,6.92562915826865e-253,1.30451150825148e-248
"IGFBP4",1147.44272121993,7.93143862153434,0.242324346657597,32.7306716429175,5.72034154325724e-235,5.38741766543967e-231
"TP53",1589.59327951417,3.51460869075991,0.119178881502245,29.4901969749876,3.84547880906108e-191,2.41444796158248e-187
"SERPINF1",372.419330379933,3.41112078366748,0.121340129982745,28.1120580977832,6.97721332497524e-174,3.28556975473084e-170
"UBAC2",705.729687519559,-2.27863064123367,0.0953151490333624,-23.9062800021023,2.63513719739681e-126,9.92708885003328e-123
"CT45A1",292.714695896779,5.04382509916875,0.214082870162078,23.5601526425265,9.87916981608133e-123,3.10140071092847e-119
"MFAP5",399.318305252771,-5.25016074073804,0.229116129677225,-22.9148456205785,3.30462860907939e-116,8.89228349723135e-113
"HOXB2",184.261577316839,4.91674222260109,0.217807863171702,22.57375905077,7.84820074803647e-113,1.84785886612519e-109
"KRT14",733.048725469286,-4.41096470677381,0.202403935878857,-21.7928801019654,2.71055638477104e-105,5.67289334039415e-102
"NGFR",875.584152552827,1.64479373822326,0.0849408784687847,19.363983135961,1.55392773392816e-83,2.92697827962708e-80
"IL17RB",119.854271946538,3.84486504381547,0.198816978809324,19.3387157718703,2.53715195325052e-83,4.34452674467516e-80
"CTH",233.427021201152,1.70031174888515,0.0893860600795781,19.0221131502094,1.11882024491658e-80,1.7561748444374e-77
"H2AFJ",307.478856502264,-5.66811459858458,0.300057672700452,-18.8900838547897,1.37626981513584e-79,1.99410909522298e-76
"CYP1A1",187.335484908913,1.97228325421092,0.105975181066453,18.610803344362,2.62649801358056e-77,3.53376547027167e-74
"WDR66",330.753882660519,1.83305771605483,0.0988346350440838,18.5467140667563,8.66923479445409e-77,1.08862471058892e-73
"NMB",275.206490712667,6.00217681542519,0.329377411028797,18.2227943218014,3.40323607753279e-74,4.00645967227547e-71
"MISP",412.302637245746,-4.14314978058568,0.229958540978607,-18.0169423712386,1.43456165475072e-72,1.58949431346379e-69
"ANXA8",329.375171893002,-2.3591590377728,0.134888133639761,-17.489744828654,1.71523542696229e-68,1.79489858345899e-65
"VWA5A",492.111834758518,1.25309672573415,0.0721576799222752,17.3660894735519,1.49043771062816e-67,1.47757287986273e-64
"C1S",200.845092551635,-1.76886655813645,0.102944160066081,-17.182777119178,3.5738508915649e-66,3.36585276967582e-63
"FAM84A",348.176409432573,1.48016420146397,0.0869307987811613,17.0269251199465,5.18585240785372e-65,4.65146266449203e-62
"DGKK",252.682941584268,1.79716929046973,0.105869012007962,16.9754043830556,1.24891038727741e-64,1.06929436612533e-61
"CAMK1",588.520411061898,2.81255678758731,0.165744361764513,16.9692456361402,1.38702356139375e-64,1.13591199140925e-61
"COL3A1",3328.60406548992,1.61398097837135,0.0964697512134469,16.7304357901815,7.86606415157856e-63,6.17354934829724e-60
"WDR45B",2999.81877582869,-0.852442094034874,0.0525598971148655,-16.218488635393,3.73267158914204e-59,2.81234408212318e-56
"GLMP",337.967603987484,-4.28325437494456,0.264979676417429,-16.1644637538052,8.98160368731813e-59,6.50682642516632e-56
"FAXDC2",100.734350208245,2.18599161435063,0.135668752675537,16.1127125534839,2.07708855370478e-58,1.44903851842901e-55
"SLC38A3",265.938735609179,5.17577334504754,0.32361608694602,15.9935601282728,1.41696619760246e-57,9.53213403501425e-55
"EPOP",92.9564861287136,6.30880906315044,0.396774458396026,15.9002398709181,6.31225970228989e-57,4.09992150870112e-54
"RFPL4AL1",235.058163485525,2.86405501691777,0.180961751847403,15.8268528442016,2.03130253129092e-56,1.27538714931319e-53
"RFPL4A",1055.72795328229,1.57750303130757,0.0998796912369861,15.7940319175057,3.42003305025729e-56,2.07805621079504e-53
"NANOS1",290.109301312734,1.15778671001546,0.0740753069481885,15.629860444929,4.55800213040126e-55,2.68295400400744e-52
"ANXA8L1",136.104315901052,-3.24799335142198,0.209171142630103,-15.5279227840989,2.24535934687035e-54,1.28162389871666e-51
"MARCH4",256.530482764306,-2.0445150794365,0.131766240141908,-15.5162284150676,2.69428733151108e-54,1.49263518165714e-51
"PAGE2B",479.816086971112,-3.15433275793928,0.203422337451768,-15.5063244157598,3.14366935455834e-54,1.69183302749888e-51
"LCK",68.5410477033362,-2.37720505305263,0.153909493269456,-15.4454738467026,8.09306695224577e-54,4.23447247534726e-51
"PMEPA1",8433.2851750936,-1.419302077745,0.0924957170330777,-15.3445167330011,3.85418882872416e-53,1.96209461561752e-50
"RPLP0P2",370.54900781335,1.44434902988606,0.0951564029628432,15.1786846172617,4.89499723967424e-52,2.42637284227642e-49
"LAMC2",910.794334622393,-1.1388712297734,0.0750630512345653,-15.1721947222014,5.4039206961227e-52,2.60995513415813e-49
"C1QTNF1",103.517322962056,3.29711544396232,0.217569695469859,15.1542954400977,7.09724253648555e-52,3.34209151043104e-49
"SERPINB5",84.5091689822855,-6.31071781146842,0.431089644273773,-14.638991901788,1.5839938077073e-48,7.2770993565792e-46
"PCDH7",1001.29605568135,1.31603131865607,0.0899112026419925,14.6370116290873,1.63079996117371e-48,7.31374954015904e-46
"LRRC15",192.391033003182,1.92665033761545,0.137160718601244,14.0466626105732,8.07507551437233e-45,3.53725866020272e-42
"OS9",3581.05234885832,0.858932769372142,0.0613949493605629,13.990283864032,1.78697259935152e-44,7.64986724576938e-42
"STK24",1231.71368642208,-1.37882552878607,0.0999859385676256,-13.7901943867186,2.91972133453078e-43,1.22213046793826e-40
"XDH",286.707109805342,-1.47325322391168,0.107212517152475,-13.7414292942722,5.73326575995458e-43,2.34764769248923e-40
"MMP3",171.186903676346,-1.96535545132604,0.143986197112452,-13.6496101066626,2.02961557326793e-42,8.13400828469676e-40
"CRISPLD2",202.951839790056,1.43033157287092,0.105495403339196,13.5582359761403,7.081877905394e-42,2.77904692137503e-39
"CHDH",91.2538728797238,4.1749182596983,0.30862443071363,13.5275041254662,1.07615726970569e-41,4.1368363943217e-39
"ADAMTS7",121.094691109675,4.40456119056423,0.329353809982731,13.3733421538229,8.65622431305313e-41,3.26097282321338e-38
"MGST1",399.87504693412,-1.62102075599275,0.12144900571586,-13.3473365750335,1.22760136399658e-40,4.53394103769403e-38
"FOXO4",338.771619936819,1.26425048646866,0.0981613334600432,12.8793124737173,5.88575271383199e-38,2.13200073303345e-35
"CEBPA",195.703380838903,1.48378520901972,0.115278343716285,12.8713265751936,6.52713833174271e-38,2.31972033239067e-35
"GAS6",4679.53307459841,-1.16612271206015,0.0912563767913708,-12.778533983725,2.16104516338614e-37,7.53804568472989e-35
"HPCAL4",229.999210383169,1.19456227475714,0.0935499571125988,12.7692444938199,2.43506503470327e-37,8.33943363521287e-35
"STC1",190.261720807167,1.39712112601898,0.109608813182617,12.7464305602075,3.26348885717331e-37,1.09769778774494e-34
"CDC42EP4",2254.77233860029,-0.860194358374121,0.06802628226538,-12.6450296815925,1.19179527165252e-36,3.93836065558716e-34
"COL4A1",3751.54841463787,-1.27445889327656,0.101384745796511,-12.5705191965913,3.0670309231996e-36,9.96044732230823e-34
"ITIH5",203.661144336198,1.85038142657153,0.147792710183913,12.5201129627362,5.79526110536441e-36,1.85016166407871e-33
"PDGFB",360.603392040279,-1.66437766663931,0.133263097222625,-12.4894115574912,8.52820615965551e-36,2.67728818705452e-33
"LRRC10B",39.1339826378758,2.79445687985523,0.224752250502111,12.4334989910545,1.71940230268116e-35,5.30928881529545e-33
"FAM219B",532.539275752581,1.10175697739892,0.0888883691158414,12.3948384738962,2.78706753267286e-35,8.4672909750687e-33
"ANKRD10",378.122454182943,-1.18050436873477,0.095687692046262,-12.3370555135141,5.72100536686669e-35,1.71048979508414e-32
"TINAGL1",1884.46289411996,-1.33501075344517,0.108263892439193,-12.3310803201999,6.16150626186844e-35,1.81340831169616e-32
"INSL4",38.1400871883686,4.34267525373443,0.353072914586128,12.2996556074683,9.09611363571329e-35,2.63591379141993e-32
"NR4A3",167.435452118744,1.28347372013641,0.105778643679827,12.1335808012556,7.01150709123279e-34,2.00104162985547e-31
"ARHGEF25",742.26341229391,0.924460505653983,0.0764237555141837,12.0965071584634,1.10201043424655e-33,3.09812963275641e-31
"SPANXC",29.0408739761625,4.83125483968476,0.401335341785469,12.0379501545799,2.24463974634882e-33,6.21765209738624e-31
"NR4A2",141.546945823165,1.35700662616201,0.112874758279379,12.0222328432655,2.71533346972776e-33,7.41246684576698e-31
"RPP25",57.3815731181628,3.48881993184967,0.290921738218782,11.9922971490909,3.8993905561247e-33,1.04927029307378e-30
"TGM2",2231.00978984266,1.82792606991493,0.153034960153439,11.9444999239532,6.93663112816683e-33,1.84025892859367e-30
"COPS7A",1694.40613207804,-0.894511826683625,0.0749428470547891,-11.9359199955356,7.69038775455557e-33,2.01189088534457e-30
"GRM2",83.4446748656031,1.87924439076251,0.157543302217952,11.9284308777703,8.41446114926431e-33,2.17116150969236e-30
"NAXD",461.878628454863,-1.03625727507074,0.0870209475917503,-11.9081359574735,1.07350283198698e-32,2.73249991125768e-30
"PTGER3",32.4499884721196,2.33316638054338,0.196676263280367,11.8629789972031,1.84299130725674e-32,4.62861123513174e-30
"SLC7A3",47.82516179031,3.25960190196735,0.277774606015489,11.7347008379362,8.46250105176946e-32,2.09736407646223e-29
"CYB5A",384.168827143683,-1.15227957226115,0.0989625054261822,-11.6435974139787,2.47357615952229e-31,6.05094552477425e-29
"JCAD",367.984730192542,1.38895553275287,0.119490873869785,11.6239465640404,3.11411027402552e-31,7.5201770668647e-29
"RIMS2",79.8534545825978,1.9989549040908,0.172364108596142,11.5972804336804,4.25382018812027e-31,1.01423996282827e-28
