"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"H2AFJ",307.478856502264,-5.49861962227611,0.264806545646543,-20.7646665563,9.03521925747311e-96,1.80821842999809e-91
"UBAC2",705.729687519559,-1.74400603671125,0.0918761916563571,-18.9821324248432,2.39668360018496e-80,2.39824144452508e-76
"PAGE2B",479.816086971112,-5.82443820970014,0.327360138830405,-17.7921424108315,8.13107511911848e-71,5.42424021196394e-67
"LRMDA",640.410148636429,1.62082775374347,0.0958579312857637,16.908645242005,3.88537679529573e-64,1.94395114510633e-60
"GLMP",337.967603987484,-5.85852955167802,0.35381229716366,-16.5582982803113,1.39483532934562e-61,5.58296788923876e-58
"COL4A1",3751.54841463787,-1.57696254509139,0.101267966888461,-15.5721754227405,1.12514522264948e-54,3.75292189014732e-51
"SPARC",29488.2118626733,-0.879805685970395,0.0586873866611317,-14.9913931429679,8.35814785702702e-51,2.38959447232402e-47
"IGFBP7",1289.78531936222,-1.6539906239348,0.11109031545151,-14.8887021988587,3.90271579696629e-50,9.76313140558579e-47
"PLAC8",275.510630791279,1.58470576746461,0.108010566699624,14.6717660677743,9.77668710623288e-49,2.17400932285598e-45
"TSC22D1",2379.85421040169,-1.42603911335078,0.0972834834503274,-14.6585942728799,1.1870513091888e-48,2.37564578507954e-45
"ZADH2",512.722316666351,-1.32460929908061,0.091936973710638,-14.4077974901553,4.62216669898568e-47,8.4094020133455e-44
"SNX18P3",276.202119800482,-3.05550060030174,0.21261287726028,-14.371192562157,7.84683192931662e-47,1.30865539501178e-43
"SERPINE2",2229.49931998029,-1.13348161724286,0.0801274535660143,-14.1459832653863,1.97733407216698e-45,3.0440297527906e-42
"PDGFA",915.556653621159,-1.00032212031847,0.0710888077162835,-14.0714432053886,5.68963056486829e-45,8.13332689247922e-42
"SHISA9",87.7440067009771,-3.30763450174004,0.23920831997663,-13.8274224828936,1.741495320736e-43,2.32350305692597e-40
"SPRY2",274.517165501942,-1.62051019963729,0.118297255260466,-13.6986288994555,1.03459509662196e-42,1.29408447929346e-39
"ITGB3",269.227737015422,-1.47366202639133,0.112123131393167,-13.1432471433914,1.86067445928231e-39,2.1904516443304e-36
"ANKRD10",378.122454182943,-1.43483612297969,0.11006467315839,-13.0363002206427,7.60592583202555e-39,8.45652187090708e-36
"UNC5C",106.552525696344,-2.85362557612369,0.221422453339773,-12.8876973996165,5.27967314462988e-38,5.56116308649883e-35
"GAS6",4679.53307459841,-1.15892674111389,0.090148130792386,-12.855804451264,7.97914276135893e-38,7.98432920415381e-35
"DPYSL3",3233.32547625167,-0.745573456415795,0.0580763510186124,-12.8378151061325,1.00675813816101e-37,9.59440505667441e-35
"TRIM22",459.3752339482,-2.18170460711384,0.172234496520792,-12.6670594519982,9.0026283341884e-37,8.18952731145966e-34
"ARHGEF7",572.830002926216,-1.28822957939167,0.104370475587059,-12.3428543574769,5.32345822593532e-35,4.63210302068016e-32
"COL3A1",3328.60406548992,1.18306926625894,0.0966840953012258,12.236441397864,1.98548577056662e-34,1.65564694693124e-31
"ITM2B",3587.09730204294,-1.26832904074145,0.105127031424584,-12.064728011,1.62197351046655e-33,1.29842223459868e-30
"ESD",1008.15348712394,-1.52368180629204,0.126810602653592,-12.0154133361725,2.94891417189682e-33,2.26986997392966e-30
"CEBPD",540.044366143485,1.09954891999261,0.0925760107523755,11.8772553608268,1.55385918626964e-32,1.1517549590672e-29
"IGFBP4",1147.44272121993,1.08506876694417,0.0914493154876962,11.8652475544244,1.79371153367336e-32,1.28205531869303e-29
"SEPT6",937.001127535573,1.41606214569834,0.120127648348531,11.7879785808331,4.50217432668574e-32,3.10696602758488e-29
"NETO1",287.860924285629,-1.64925345419378,0.140271571956938,-11.7575744763172,6.45624436101681e-32,4.30696061323431e-29
"HOXB2",184.261577316839,1.33945942986744,0.114616472656334,11.6864478449243,1.49509894420005e-31,9.65206940976631e-29
"RGCC",91.6843694047623,-1.84666655885646,0.158131751790683,-11.6780250515461,1.65086640648132e-31,1.03246216852845e-28
"LAT2",599.852028180993,1.40991455267229,0.121438291901818,11.6101316198699,3.66051711010162e-31,2.21993724013526e-28
"GM2A",1250.27399769273,-0.853625752965385,0.0750944460025783,-11.3673620141771,6.079734154975e-30,3.57863881304455e-27
"HTRA1",575.294425479636,-1.0954608094253,0.0968747838922057,-11.3080077746985,1.19778285449991e-29,6.84892236203047e-27
"ANKRD20A5P",245.795854183314,-1.79165933812456,0.159708304468021,-11.2183229550427,3.31497150729585e-29,1.84284791043088e-26
"ISLR",103.827129344907,2.20992047739977,0.197423105683991,11.1938289580811,4.37139812968652e-29,2.36445380457882e-26
"SRP68",2153.74726685951,-0.544532657767255,0.0487278666277533,-11.1749743104311,5.40660152650685e-29,2.8474293776311e-26
"GLUL",272.534063862767,1.04646941269077,0.0937813744928827,11.1586060489036,6.50027727272456e-29,3.33564228356504e-26
"CNFN",227.412722477962,2.7161788154547,0.244368281559927,11.115103801999,1.05927373793464e-28,5.29981132932147e-26
"TPT1",14721.8676414416,-2.23057465729631,0.201239853149732,-11.0841596353017,1.49749948779312e-28,7.30962371931797e-26
"EDA2R",320.613237986906,-1.85128719667448,0.168534792752842,-10.9845994790488,4.53244521244455e-28,2.15971014372983e-25
"DNAJC15",151.329054848623,-1.99571532905436,0.182061882323083,-10.9617417088592,5.83651343212974e-28,2.71642193760959e-25
"GPC6",413.853567504563,-1.56167696778029,0.143268938052507,-10.9003178847319,1.14855318093127e-27,5.22408972954034e-25
"TGFA",843.30004511785,-1.765655757784,0.162659302364516,-10.8549325622164,1.8894621644968e-27,8.40306806623878e-25
"GBGT1",144.955790381049,2.51278141473499,0.232419211871424,10.81141870546,3.03932816562686e-27,1.32230596910196e-24
"OSBPL3",527.268707624276,-1.35463825827643,0.125786736662548,-10.7693250832204,4.80510584276768e-27,2.04605496236829e-24
"LY6K",359.828746824441,-1.21942444430147,0.114825812284222,-10.6197763381207,2.41138190011814e-26,1.00539554098051e-23
"PMP22",1218.08007957982,-0.660573960104703,0.0627727495105363,-10.5232599377191,6.74970127741359e-26,2.75677085030364e-23
"DZIP1",596.580202473256,-1.29330775559152,0.123706961851313,-10.4546076973905,1.39575191407715e-25,5.58663661128519e-23
