"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GDF15",1314.71748918016,-5.80640500600656,0.143380725313061,-40.496412564023,0,0
"INKA2",1036.27282961562,-1.99469441992667,0.0482606927550046,-41.3316574225889,0,0
"NECTIN4",354.540964401901,-5.91252433059569,0.137834198628821,-42.89591690171,0,0
"CEACAM1",241.636884004951,-3.83963086483028,0.103552006655559,-37.0792511786074,6.06845526885709e-301,3.03619988239092e-297
"COL17A1",233.894907466059,-3.26823941995899,0.0891211074409814,-36.6718896769019,2.04976883819036e-294,8.20440475174075e-291
"SNX18P3",276.202119800482,-3.8878452077516,0.123537093040165,-31.4710757075009,2.16148333031695e-217,7.20962764827217e-214
"PMEPA1",8433.2851750936,-2.88837861869407,0.0920178327221677,-31.3893354499561,2.82898551589845e-216,8.08806958995368e-213
"TSPAN11",312.649626625105,-3.73117064556093,0.121082102656796,-30.8152118578321,1.63919991668558e-208,4.10066349157857e-205
"GREB1",519.141249348023,-2.22817242594629,0.076955637944777,-28.9539855097454,2.5000985200536e-184,5.55938574242585e-181
"PIK3IP1",316.127522604567,-2.75775382647778,0.0954909396706833,-28.8797433137465,2.14503934382198e-183,4.29286723879092e-180
"CES2",1314.89653773545,-1.72912210390379,0.060307015550316,-28.6719892888935,8.5291710804856e-181,1.55176637121599e-177
"BTG2",1560.11709260231,-2.16563541159819,0.0766920499219299,-28.2380691845209,1.99451928578518e-175,3.32635953886824e-172
"CR381653.2",147.358806289292,-3.67401285114479,0.134305849887845,-27.3555683107835,9.27143536040339e-165,1.42730181436733e-161
"MARCH4",256.530482764306,-3.45175195285419,0.127952865252243,-26.9767460544905,2.77060310858352e-160,3.96057714372014e-157
"ANKRD20A5P",245.795854183314,-2.92820906643864,0.109771431673321,-26.6755113038241,9.05638657811155e-157,1.20830309725164e-153
"TUBB2B",2939.0496340448,2.09236233072131,0.080486539607009,25.9964255009305,5.4351372886701e-149,6.79833765988467e-146
"XDH",286.707109805342,-2.66639635611276,0.102872440912729,-25.9194428795053,4.02114400493318e-148,4.73383264533693e-145
"ABAT",519.003419274709,-2.31641306481765,0.0898987765341177,-25.7669031117297,2.08421617828007e-146,2.31730102088439e-143
"BBC3",624.880211717922,-2.3484650386384,0.0921748547611245,-25.478369830086,3.42413163284162e-143,3.60669191410838e-140
"SAPCD2",1582.89764813402,2.71029167842352,0.106516584157965,25.444785897416,8.0628152714073e-143,8.06805610133371e-140
"ZFAND3",1785.18330226919,-1.97635685781934,0.0777457414202132,-25.4207731731207,1.4863586684528e-142,1.41649981103552e-139
"CYFIP2",1599.48646657128,-3.89917010794315,0.153457138325856,-25.4088545536638,2.01316135458762e-142,1.83133628133464e-139
"BHLHE40",3734.69218271353,-1.78247901304652,0.0709144940704019,-25.1356092490334,2.03043145517192e-139,1.76674020488503e-136
"CDKN2C",1776.78914234554,1.9023785908125,0.0757037423862891,25.1292542593911,2.38265811423534e-139,1.986839035008e-136
"PAGE2B",479.816086971112,-4.96480402628458,0.199006298742101,-24.9479742986359,2.24625116828467e-137,1.79816898523524e-134
"ADAM19",2348.83577230201,-2.59554685543723,0.104052837385239,-24.9445082004599,2.44945928506329e-137,1.88542417969122e-134
"TENM4",285.806008900228,-4.21924649547469,0.170849548694613,-24.6956841719052,1.18998564383625e-134,8.82043803336847e-132
"COL4A1",3751.54841463787,-2.48813825089258,0.100863989341231,-24.6682514457664,2.34466547099887e-134,1.67584964539644e-131
"SERPINE1",3521.54606197516,-2.44671022183069,0.0999499571510763,-24.4793523836378,2.45126074108485e-132,1.6916234900459e-129
"AL589743.1",8758.75261287694,-1.45105960810548,0.0597853936589011,-24.2711391411811,3.9558471767877e-130,2.63894565163507e-127
"UBAC2",705.729687519559,-2.31612750388489,0.0954577450651414,-24.2633795959075,4.77701730445983e-130,3.08394991335983e-127
"ITIH5",203.661144336198,-2.4319260184028,0.100564873185746,-24.1826588287044,3.38669018419884e-129,2.1180572080116e-126
"EBI3",168.030003049058,-3.90576908426471,0.162707315686741,-24.0048769029197,2.47310127775138e-127,1.49982351126177e-124
"APOBEC3C",2285.64920881275,-1.77610701587474,0.0740655080894557,-23.9802178056967,4.47332392774501e-127,2.6330774048812e-124
"FAM19A5",1669.65524794045,-1.88607206518643,0.0797088172076877,-23.6620254980339,8.87630374609192e-124,5.07547048201536e-121
