"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TP53",1589.59327951417,-3.4754200023231,0.121331585987666,-28.6439839554754,1.90495506061398e-180,3.47635249011445e-176
"SERPINF1",372.419330379933,-3.47053673686525,0.128528130441348,-27.0021568426142,1.39417501349283e-160,1.27211499106153e-156
"GLUL",272.534063862767,-3.09489651037559,0.151222178544139,-20.4658902561191,4.33688916276934e-93,2.63812967771259e-89
"PLAT",1762.19093379396,-1.02816399508483,0.0520679433113323,-19.7465835924627,8.58315118043877e-87,3.91584814729568e-83
"TGM2",2231.00978984266,-3.00423458437139,0.156526816799841,-19.1930983188208,4.22672532799057e-82,1.54267021021e-78
"IGFBP4",1147.44272121993,-9.69520962814944,0.51794008900988,-18.7187858863817,3.47992903392857e-78,1.05842041566937e-74
"LRMDA",640.410148636429,1.7493915506793,0.0944201225929536,18.5277407255755,1.23358705364612e-76,3.21596144885544e-73
"PRAME",4011.32956291033,-1.01698448833296,0.056134164346569,-18.1170326515268,2.33873001270455e-73,5.33493550023066e-70
"GSN",2592.39731170688,-1.38789501133319,0.0771317591256293,-17.9938202767117,2.17811067609685e-72,4.41648241423238e-69
"HOXB2",184.261577316839,-5.33560216248712,0.313836360152869,-17.0012236946929,8.04234354117473e-65,1.46764727282898e-61
"CT45A1",292.714695896779,-4.0063843170053,0.242520198159324,-16.5197964846347,2.64288362733371e-61,4.38454393774663e-58
"COL6A3",6785.49806902897,-1.84462172264312,0.114428446667397,-16.1203072869177,1.83693588552394e-58,2.79352024791053e-55
"DPYSL3",3233.32547625167,-0.899688507404035,0.0575828940304146,-15.6242322056413,4.97882750932544e-55,6.98912486289846e-52
"SGK1",1046.16542029929,1.18497422786611,0.0764090450423375,15.5082978358063,3.04853773007693e-54,3.97376893115528e-51
"GDF15",1314.71748918016,-2.86585250876566,0.188850401771313,-15.1752523790552,5.15789684761765e-52,6.27509730481164e-49
"SRPX",1231.760720154,-1.06066855039833,0.0706930335289372,-15.0038624380741,6.92683378305276e-51,7.90048685668312e-48
"SNX18P3",276.202119800482,-2.29991835903705,0.155087448825269,-14.8298161873065,9.39899707869803e-50,1.00895469228918e-46
"KLK6",1026.89898098444,-2.02669103851277,0.138702991978569,-14.6117326641801,2.36427733897892e-48,2.39698317550146e-45
"FBXO32",425.381423829329,-1.82285983358128,0.125320766555126,-14.5455528536002,6.2325277716478e-48,5.98617891077898e-45
"PAGE2B",479.816086971112,-2.2299645573317,0.153367423977813,-14.5400144274074,6.75784088809258e-48,6.16619191834007e-45
"F13A1",78.2145061172116,-3.85461367030392,0.273707133753943,-14.0829857718255,4.83241461276801e-45,4.1993682984954e-42
