"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEACAM1",241.636884004951,-5.21819707410979,0.134907704025021,-38.6797559992718,0,0
"GDF15",1314.71748918016,-6.07513511249965,0.146216783525679,-41.5488220025898,0,0
"INKA2",1036.27282961562,-2.48788038619484,0.0508548311728724,-48.9212200456965,0,0
"NECTIN4",354.540964401901,-6.25854360118143,0.1550228821915,-40.3717406921274,0,0
"COL17A1",233.894907466059,-3.45669663195288,0.0939873520105448,-36.778317060843,4.10188599760864e-296,1.69005906873471e-292
"TSPAN11",312.649626625105,-4.89309949601528,0.141121706488671,-34.6729048121886,2.01805752591803e-263,6.92900051523954e-260
"FAM84A",348.176409432573,-2.86102655485569,0.0833702593716636,-34.3171123182101,4.36043679603596e-258,1.28327654907338e-254
"BTG2",1560.11709260231,-2.59068857615887,0.0777283264161089,-33.3300444716891,1.41778616335554e-243,3.65097659391093e-240
"GREB1",519.141249348023,-2.52959401158126,0.0788654638902426,-32.0748003853969,9.90450231584196e-226,2.26714058009623e-222
"SNX18P3",276.202119800482,-4.49616958962818,0.141310879955009,-31.8175754836406,3.6989177355479e-222,7.62014042700223e-219
"IGFBP4",1147.44272121993,-7.60010228998323,0.242499608273838,-31.3406786265855,1.30343470163666e-215,2.44109620803789e-212
"APOBEC3C",2285.64920881275,-2.32214470341147,0.0750363806830311,-30.9469177787329,2.79519905801148e-210,4.79865798284121e-207
"ITIH5",203.661144336198,-4.28230744497434,0.138930910053605,-30.8232879445045,1.27768243070611e-208,2.02473351961359e-205
"ANKRD20A5P",245.795854183314,-3.81067130136608,0.127627124045179,-29.8578482424874,6.94324832011911e-196,1.02169899030553e-192
"GSN",2592.39731170688,-2.33543513339138,0.0803675283668498,-29.0594370742737,1.16939358572175e-185,1.60604515063025e-182
"ZMAT3",982.132474723844,-2.6827473755324,0.0940225109005265,-28.5330326731083,4.56161407053612e-179,5.87336321669466e-176
"EFNB1",1082.60214412741,-1.87572040438928,0.0659419714159172,-28.4450155813285,5.61641986743198e-178,6.80610974640978e-175
"CES2",1314.89653773545,-1.72067120643933,0.0605605797549164,-28.4123965358777,1.4212988902614e-177,1.62667657990417e-174
"MCM3",3644.5362219857,1.65967664157916,0.0605089340042913,27.4286213910404,1.25007234217764e-165,1.35540738532639e-162
"SCARA3",3516.36027335061,1.88507321767185,0.0706146126558275,26.6952284629757,5.34720347092736e-157,5.50788693522872e-154
"RRM2",5946.00767600404,1.76957467587937,0.0665234759537581,26.6007548539622,6.65292023825232e-156,6.52651475372552e-153
"TNFRSF10B",1181.73807216896,-1.4340613825579,0.0547630613731374,-26.1866547742224,3.77126556168278e-151,3.53144735619213e-148
"SHMT1",924.511398638127,1.81847573058192,0.0705124577097502,25.7894248710958,1.16526925282893e-146,1.04372660337081e-143
"TP53INP1",585.299433173822,-3.5239765207228,0.137466410661233,-25.6351824694627,6.18591751111113e-145,5.30983694360002e-142
"MYLK",763.82879740409,-2.49648018318669,0.0985234780398854,-25.3389367981511,1.19000088191864e-141,9.80608326736237e-139
"COL6A3",6785.49806902897,-2.90683044871116,0.11481485683358,-25.317546255573,2.04742068340462e-141,1.62226590380072e-138
"TENM4",285.806008900228,-4.43778021690863,0.177028651315664,-25.0681467882593,1.10713628983297e-138,8.44744989142558e-136
"CDKN2C",1776.78914234554,1.87969738756876,0.0758260738626764,24.789591387429,1.16094119614787e-135,8.54162485065794e-133
"SLC52A1",125.186878997255,-4.64466365163414,0.190715236327894,-24.3539202271634,5.26862181213696e-131,3.74271992937357e-128
"TGM2",2231.00978984266,-3.66449113492234,0.15253322638924,-24.0242157178998,1.55310716374553e-127,1.06651868934406e-124
"TP53",1589.59327951417,-2.87334624225676,0.119720249923787,-24.000503207151,2.74734501102464e-127,1.82574369587479e-124
"TUBB2B",2939.0496340448,1.91305056362345,0.080582749768249,23.7401995976219,1.38719732625978e-124,8.93051628696176e-122
"BBC3",624.880211717922,-2.16937232212327,0.0917394974876851,-23.647091836474,1.26450202954162e-123,7.89394130623843e-121
"PIK3IP1",316.127522604567,-2.06668765999006,0.0878713505692133,-23.5194707558546,2.57850397206804e-122,1.56234589201687e-119
"SERPINF1",372.419330379933,-2.83489581629678,0.123028428616853,-23.042607697815,1.74466083154398e-117,1.02690736544679e-114
"ABAT",519.003419274709,-1.98935191793856,0.0884095084393031,-22.5015606698496,4.00711979196295e-112,2.2930743009508e-109
"NEFL",1831.94476134314,-1.43837753201287,0.0642597240554606,-22.3838112154271,5.65945566475485e-111,3.15109313917877e-108
"SUGCT",418.184035830434,-2.9465917065284,0.133212454645908,-22.1194911118538,2.052302805796e-108,1.1126181605843e-105
"EPHB1",109.126916846418,-3.818773558135,0.173112349232346,-22.059509763856,7.74172753018266e-108,4.08941868844341e-105
"CD82",686.402744628957,-2.01675245276535,0.0917163816631289,-21.9890102094609,3.66903327177873e-107,1.88964386079784e-104
"CR381653.2",147.358806289292,-6.33340867501823,0.289346854191851,-21.888638439521,3.33321737138268e-106,1.6748197821428e-103
"CYGB",111.548985234378,-5.78886783405817,0.265031972268392,-21.8421490226693,9.2309759641142e-106,4.52779371039802e-103
"SP110",466.166083045172,-1.86920220872927,0.0861562728939552,-21.6954859575921,2.26321253056209e-104,1.08428933353743e-101
"CMBL",456.527566232561,-1.99050332755401,0.092366131388631,-21.5501428676162,5.27838493047638e-103,2.47136381710782e-100
"EDA2R",320.613237986906,-3.09089150413351,0.144517125506031,-21.3877178452773,1.73859030560084e-101,7.95926641904065e-99
"GRHL3",72.113328159525,-5.13030787293789,0.24080935442086,-21.3044376339787,1.03259998784818e-100,4.62447659775223e-98
"EBI3",168.030003049058,-3.25334275381775,0.15544276467324,-20.9295219411252,2.88373879147236e-97,1.26399793283239e-94
"POLH",700.959295487675,-1.28077037381438,0.061350283442991,-20.8763562601063,8.78405882114091e-97,3.77000824529841e-94
"TRIM22",459.3752339482,-2.79737553798956,0.134822090975301,-20.7486437701224,1.26098471826766e-95,5.3015400369453e-93
"DGKA",508.100001509216,-3.06693292372354,0.150254453515383,-20.4115941455909,1.31911410998523e-92,5.43501395596113e-90
"BHLHE40",3734.69218271353,-1.44200240984808,0.070696074408457,-20.3972062368937,1.77045897289344e-92,7.15161280403487e-90
"COL7A1",153.565967625252,-2.33068180489577,0.114432791418263,-20.3672546654648,3.26474335477365e-92,1.29340342022484e-89
"RPLP0P2",370.54900781335,-1.92074027629367,0.0945700225583483,-20.3102444551983,1.04383569350305e-91,4.05736964563329e-89
"CDH13",195.262607868158,-2.1275132648535,0.104990253283802,-20.2639121090847,2.67814100356621e-91,1.02171079286051e-88
"GLS2",70.2228952444704,-6.09142130536385,0.301404478649826,-20.2101220680297,7.9750511113348e-91,2.98716414444742e-88
"CYFIP2",1599.48646657128,-3.06139923886025,0.151703835456771,-20.1801044096385,1.46436566612541e-90,5.38703519425885e-88
"SAPCD2",1582.89764813402,2.15803514996307,0.107211872561995,20.1286956229143,4.13742556395196e-90,1.49535270250832e-87
"FAM19A5",1669.65524794045,-1.58091698164536,0.078703738891549,-20.0869361978319,9.60065389756426e-90,3.41005294730554e-87
"CENPA",1014.51257518487,1.50978203066979,0.0755003480221486,19.9970208114389,5.84620453984624e-89,2.04131626653173e-86
"GM2A",1250.27399769273,-1.43381040679598,0.0717458967366712,-19.9845631877526,7.50410726301584e-89,2.57653522875649e-86
"DRAXIN",523.233118685675,-2.12708144017673,0.107517134998101,-19.7836506731165,4.11772170760167e-87,1.390642375382e-84
"UNG",1370.87302444243,1.30003791132279,0.0658996527292357,19.7275381201826,1.25116827787893e-86,4.15730930525546e-84
"LCE1C",94.713369035953,-7.77726809980241,0.398884723264205,-19.4975331122197,1.15206541169866e-84,3.76725389625461e-82
"PLXNB3",308.873238263176,-3.43028932618515,0.177747936456231,-19.2986168760942,5.51661275310049e-83,1.77574592697849e-80
"FLG",138.825494183086,-3.61140118371067,0.18946529687397,-19.0610166784946,5.32303613796856e-81,1.68707488428139e-78
"LMNB2",4679.35344876922,1.12652153084819,0.0592468025463827,19.0140477195587,1.30484670406749e-80,4.0729010531052e-78
"ZNF395",1057.87022022908,1.41641789394659,0.0749633906912898,18.8947949243599,1.2587576292021e-79,3.87039789838694e-77
"CYP24A1",231.958967754102,1.78773067764849,0.0947009327871446,18.8776459221019,1.74178083444401e-79,5.27682749564427e-77
"ACER2",130.530996112544,-2.69799409019338,0.143251895860107,-18.83391541867,3.98201185688631e-79,1.18889023570601e-76
"STMN1",10805.8264249726,1.77039884170262,0.0941111077893386,18.8117947316648,6.04559755572199e-79,1.77921936064898e-76
"RHNO1",2146.53071209075,1.23328068226583,0.0656617206963915,18.7823387688591,1.05336440886919e-78,3.05638875874847e-76
"KIF2C",3884.26612596037,1.69198260203706,0.0901147130429819,18.7758751584776,1.18971328128748e-78,3.40406712608382e-76
"HIST2H2BE",698.357506184044,-1.74853465522869,0.093165978493627,-18.7679524596879,1.38106680190909e-78,3.8974461898807e-76
"HTRA1",575.294425479636,-1.65657700270996,0.0883728228019944,-18.7453218103222,2.11389221771016e-78,5.88490453743877e-76
"EPN3",177.29791505651,-4.10023962465577,0.218796471368356,-18.7399714401828,2.33753010307446e-78,6.42072768712492e-76
"DTL",985.565521034676,1.4065127522431,0.0751400595076028,18.7185472231465,3.49555456459245e-78,9.47525257699593e-76
"SRPX",1231.760720154,-1.32837950337619,0.0710434819267811,-18.6981193397199,5.12817297079936e-78,1.37201936846023e-75
