"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HLA-A",320.00484411758,-5.82679225431712,0.306619928558767,-19.0033057593657,1.60133561009368e-80,2.19911419334165e-76
"HLA-B",627.261935916032,2.83567597050077,0.181079010075638,15.659882221116,2.84423457150767e-55,1.95299366852574e-51
"HLA-C",251.083892282921,2.51899773051596,0.215233631476029,11.7035507566414,1.22229724666494e-31,5.59526936281652e-28
"COMT",154.103794294786,3.63031864089193,0.349343250916347,10.3918384894209,2.70095854799685e-25,9.27306593491019e-22
"DNAJC15",132.466134445623,-3.41980229790746,0.422657485236392,-8.09119066232737,5.90842826497425e-16,1.62280890725783e-12
"PNMA8A",102.987474761962,-2.31994037775865,0.294015105306102,-7.89054826058455,3.0086184000545e-15,6.88622608132475e-12
"GBP3",129.805983926115,-2.20486716986941,0.285707625878368,-7.71721497839221,1.18899018859604e-14,2.33262889428419e-11
"ITGA4",1084.61100741567,-1.56352389610783,0.203602878456763,-7.67928188421885,1.59982856456789e-14,2.74630570965135e-11
"ADA2",139.954324353444,-1.79469339897779,0.238708984413362,-7.51833201162632,5.54794701597779e-14,8.46555070782478e-11
"IER3",43.8803065888792,-5.40909807472093,0.726908216677431,-7.4412394173297,9.97449813220658e-14,1.36979782849593e-10
"MTND4P12",56.8156287083241,-2.47610580557044,0.338554841680039,-7.31375098132715,2.59786384592931e-13,3.24331492692247e-10
"GDNF",87.6037660236434,-1.97211091895782,0.28680195617326,-6.87621153380992,6.14652110549593e-12,7.03418119514796e-09
"FZD6",338.697918390393,-1.121739546617,0.165070818067219,-6.7955048611937,1.07933877440429e-11,1.14019687606878e-08
"CERKL",475.33776532911,-1.51638371663144,0.224267130887893,-6.76150673809371,1.36563964496488e-11,1.33959494602162e-08
"GSTM3",189.080471706693,-1.32059116741851,0.207956361383956,-6.35032830267818,2.14855896462482e-10,1.96707735074618e-07
"PLA2R1",347.399884239311,-1.46242083851385,0.236183199785418,-6.1918918866478,5.9446323154452e-10,5.10235222425056e-07
"IFI6",329.857527841805,2.44942954953765,0.398884334585991,6.14070129397273,8.21579499587266e-10,6.63691251048937e-07
"RPS17",452.13736492584,-6.80318115913085,1.11029235174013,-6.12737820671145,8.93389370364119e-10,6.81606456845025e-07
"B2M",945.943984649758,1.20562875302378,0.199793346417216,6.03437889521173,1.59575250326745e-09,1.15339311196694e-06
"MX1",90.628147380435,3.26776293781804,0.556316186870281,5.87393107542278,4.2558037299738e-09,2.92224763118651e-06
"PSPHP1",20.2205960090427,-4.87110903392928,0.841048612206076,-5.7917092582227,6.96736788432127e-09,4.55632681692305e-06
"PLPP2",39.7040122065279,2.61193732116926,0.460387048303268,5.67335100063178,1.4003089950265e-08,8.74111064940863e-06
"NIPAL4",52.8708283016805,-2.11255037249549,0.377977510607693,-5.58909012628565,2.28262466518378e-08,1.36292541421603e-05
"CPNE7",144.422689777882,1.92564889017399,0.353645565381025,5.44513795358711,5.17652506424256e-08,2.96205077946846e-05
"PDXDC1",21.3219063969568,2.92899394240824,0.539992784066998,5.42413533815822,5.82357471318104e-08,3.19900606144461e-05
"MICA",17.3658766177384,5.0851589116778,0.949070948111809,5.35803874493766,8.41302014861802e-08,4.44369252696044e-05
"RSPH10B2",19.3520464281253,-3.77954176742362,0.718330470976644,-5.26156402955445,1.4283512965022e-07,7.26501790920917e-05
"AGPAT1",18.9100801544324,6.73176289205886,1.28696432717436,5.2307299821115,1.68841977803085e-07,8.28109600417775e-05
"MTCYBP18",18.9877028499517,-5.80622875441441,1.12059310920781,-5.18138895082004,2.20239695785806e-07,0.000104294887662982
"ADAM33",24.3083259069893,-2.49699608287933,0.486117809266257,-5.13660687858418,2.79743284188151e-07,0.000128057150725196
"CCZ1",122.986099443057,1.1235298996403,0.22544147688579,4.98368762998074,6.23837617805001e-07,0.000276360064687615
"DCN",291.30302986293,-1.13368081994804,0.230571394497082,-4.91683203990159,8.7955953261428e-07,0.000377468470668497
"BEX1",177.139152858844,1.26464902805369,0.258407682193672,4.89400708724229,9.88032781508335e-07,0.00041117133904406
"ADAMTS12",1601.09094562319,-0.90345467368996,0.186089054510623,-4.85495869741434,1.20411837956914e-06,0.00048635757960656
"TM4SF1",351.042000603076,-1.55080217196898,0.32150332003908,-4.82359613512072,1.40992762183112e-06,0.000553215315160192
"DDX52",37.6371733392322,-2.33776907687558,0.48546838531611,-4.81549189934038,1.46837720915579e-06,0.000560145117037124
"CBS",68.0141419233703,1.52197452100686,0.31700894452408,4.80104598717797,1.57839013783914e-06,0.000585838696295809
"COG6",373.002905729828,-0.823657211547915,0.172819950916505,-4.76598452423964,1.87933684881733e-06,0.00067918244591601
"DDAH2",18.230036516563,3.49031174996869,0.74348878658804,4.69450489762752,2.67253208244994e-06,0.000913542970513728
"ATRNL1",46.2743580310585,-1.72288314192265,0.367150772834121,-4.69257664534741,2.69785409338015e-06,0.000913542970513728
"FAM50B",38.0404955367734,1.70510333207382,0.363534406640428,4.69034925148183,2.72739108651153e-06,0.000913542970513728
"CAST",1487.45063376547,0.646319905100243,0.139041916472968,4.64838173620757,3.34549344465797e-06,0.00109389670179733
"VCAM1",128.019186956294,-1.83108641916542,0.395351011568857,-4.63154605801864,3.62945234021258e-06,0.0011414929601306
"CBWD1",85.2795436897975,1.16577618123904,0.251789488702692,4.62996365434288,3.65729922418601e-06,0.0011414929601306
"IFITM3",2107.9102126817,0.875037995065147,0.189659350624155,4.61373505806837,3.95496514438661e-06,0.00120696747395247
"ZFAND2A",89.0673772525253,1.30172383399543,0.285288505527117,4.56283309273286,5.04679350468763e-06,0.00150668728695381
"LPCAT2",375.207370662595,-1.02931607511492,0.226575968094808,-4.54291813809759,5.54808008405864e-06,0.00162110178285909
"MTND2P28",716.929620547416,-0.894515455182228,0.198456982512026,-4.5073518898637,6.5641720519282e-06,0.00187803697477354
"TNFRSF10D",1414.25147002491,-0.914783652409735,0.204592450778733,-4.47124832283805,7.77643383113148e-06,0.00217946460822303
"TSPYL5",78.6717617195417,1.66383517093867,0.376079897328282,4.42415343856122,9.68211909663701e-06,0.00265929083108232
"FGD5",20.56620982218,-3.49281772596793,0.803453044172494,-4.34725806480118,1.37849992695771e-05,0.00371194892096279
"CHURC1",559.774329622493,-0.774321554610261,0.178619565153629,-4.33503213348592,1.45738831783257e-05,0.00384890649399897
"TNFRSF19",45.4917355681444,-1.72918151899152,0.402177607802834,-4.29954697984888,1.71147594106156e-05,0.00443466020728272
"PPT2-EGFL8",9.2036454458756,6.67022127356812,1.55517766385071,4.28904132859796,1.79445983180434e-05,0.00456357719817945
"JRK",121.841695658029,1.16760549632204,0.27627880103935,4.22618562093638,2.37685948980702e-05,0.0059348020679127
"TJP2",368.319867914424,-1.03291853270199,0.247343566205649,-4.17604770783966,2.96617636445973e-05,0.00713813292477503
"FKBP9P1",38.8894999499131,1.62280351183353,0.388814735116498,4.17371916562601,2.99667110969398e-05,0.00713813292477503
"SLITRK4",19.7415037996241,-3.44133403906386,0.824794863306498,-4.17235144417363,3.01472154399586e-05,0.00713813292477503
"SULT1A1",14.8238342307399,-2.82080109696465,0.677344525344682,-4.16449973597885,3.12035988036509e-05,0.00726303427746674
"ARL16",136.300795476317,0.958131688087139,0.231846931669581,4.13260456451771,3.58675504472864e-05,0.0082094845048764
"DZIP1",388.372911537024,-0.680355756119719,0.165343626208916,-4.11479880851332,3.87517266625495e-05,0.0087242206927343
