Run Experiment Sample Subject_ID GSE131592
2 trimmed_SRX5879897_SRR9104946 trimmed_GSE131592_GSM3790511 trimmed_GSM3790511 trimmed_GSM3790511 GSE131592
3 trimmed_SRX5879832_SRR9104881 trimmed_GSE131592_GSM3790446 trimmed_GSM3790446 trimmed_GSM3790446 GSE131592
4 SRX5879872_SRR9104921 GSE131592_GSM3790486 GSM3790486 GSM3790486 GSE131592
5 SRX5879870_SRR9104919 GSE131592_GSM3790484 GSM3790484 GSM3790484 GSE131592
6 SRX5879854_SRR9104903 GSE131592_GSM3790468 GSM3790468 GSM3790468 GSE131592
7 trimmed_SRX5879862_SRR9104911 trimmed_GSE131592_GSM3790476 trimmed_GSM3790476 trimmed_GSM3790476 GSE131592
8 SRX5879895_SRR9104944 GSE131592_GSM3790509 GSM3790509 GSM3790509 GSE131592
9 SRX5879894_SRR9104943 GSE131592_GSM3790508 GSM3790508 GSM3790508 GSE131592
10 SRX5879850_SRR9104899 GSE131592_GSM3790464 GSM3790464 GSM3790464 GSE131592
11 trimmed_SRX5879864_SRR9104913 trimmed_GSE131592_GSM3790478 trimmed_GSM3790478 trimmed_GSM3790478 GSE131592
12 SRX5879904_SRR9104953 GSE131592_GSM3790518 GSM3790518 GSM3790518 GSE131592
13 trimmed_SRX5879823_SRR9104872 trimmed_GSE131592_GSM3790437 trimmed_GSM3790437 trimmed_GSM3790437 GSE131592
14 trimmed_SRX5879893_SRR9104942 trimmed_GSE131592_GSM3790507 trimmed_GSM3790507 trimmed_GSM3790507 GSE131592
15 trimmed_SRX5879820_SRR9104869 trimmed_GSE131592_GSM3790434 trimmed_GSM3790434 trimmed_GSM3790434 GSE131592
16 SRX5879847_SRR9104896 GSE131592_GSM3790461 GSM3790461 GSM3790461 GSE131592
17 trimmed_SRX5879838_SRR9104887 trimmed_GSE131592_GSM3790452 trimmed_GSM3790452 trimmed_GSM3790452 GSE131592
18 SRX5879844_SRR9104893 GSE131592_GSM3790458 GSM3790458 GSM3790458 GSE131592
19 SRX5879871_SRR9104920 GSE131592_GSM3790485 GSM3790485 GSM3790485 GSE131592
20 SRX5879818_SRR9104867 GSE131592_GSM3790432 GSM3790432 GSM3790432 GSE131592
21 SRX5879856_SRR9104905 GSE131592_GSM3790470 GSM3790470 GSM3790470 GSE131592
22 SRX5879867_SRR9104916 GSE131592_GSM3790481 GSM3790481 GSM3790481 GSE131592
23 SRX5879824_SRR9104873 GSE131592_GSM3790438 GSM3790438 GSM3790438 GSE131592
24 trimmed_SRX5879889_SRR9104938 trimmed_GSE131592_GSM3790503 trimmed_GSM3790503 trimmed_GSM3790503 GSE131592
25 trimmed_SRX5879850_SRR9104899 trimmed_GSE131592_GSM3790464 trimmed_GSM3790464 trimmed_GSM3790464 GSE131592
26 SRX5879860_SRR9104909 GSE131592_GSM3790474 GSM3790474 GSM3790474 GSE131592
27 SRX5879845_SRR9104894 GSE131592_GSM3790459 GSM3790459 GSM3790459 GSE131592
28 trimmed_SRX5879902_SRR9104951 trimmed_GSE131592_GSM3790516 trimmed_GSM3790516 trimmed_GSM3790516 GSE131592
29 trimmed_SRX5879887_SRR9104936 trimmed_GSE131592_GSM3790501 trimmed_GSM3790501 trimmed_GSM3790501 GSE131592
30 SRX5879855_SRR9104904 GSE131592_GSM3790469 GSM3790469 GSM3790469 GSE131592
31 SRX5879825_SRR9104874 GSE131592_GSM3790439 GSM3790439 GSM3790439 GSE131592
32 trimmed_SRX5879867_SRR9104916 trimmed_GSE131592_GSM3790481 trimmed_GSM3790481 trimmed_GSM3790481 GSE131592
33 SRX5879849_SRR9104898 GSE131592_GSM3790463 GSM3790463 GSM3790463 GSE131592
34 trimmed_SRX5879904_SRR9104953 trimmed_GSE131592_GSM3790518 trimmed_GSM3790518 trimmed_GSM3790518 GSE131592
35 trimmed_SRX5879909_SRR9104958 trimmed_GSE131592_GSM3790523 trimmed_GSM3790523 trimmed_GSM3790523 GSE131592
36 trimmed_SRX5879885_SRR9104934 trimmed_GSE131592_GSM3790499 trimmed_GSM3790499 trimmed_GSM3790499 GSE131592
37 SRX5879834_SRR9104883 GSE131592_GSM3790448 GSM3790448 GSM3790448 GSE131592
38 SRX5879875_SRR9104924 GSE131592_GSM3790489 GSM3790489 GSM3790489 GSE131592
39 trimmed_SRX5879852_SRR9104901 trimmed_GSE131592_GSM3790466 trimmed_GSM3790466 trimmed_GSM3790466 GSE131592
40 trimmed_SRX5879843_SRR9104892 trimmed_GSE131592_GSM3790457 trimmed_GSM3790457 trimmed_GSM3790457 GSE131592
41 SRX5879869_SRR9104918 GSE131592_GSM3790483 GSM3790483 GSM3790483 GSE131592
42 trimmed_SRX5879863_SRR9104912 trimmed_GSE131592_GSM3790477 trimmed_GSM3790477 trimmed_GSM3790477 GSE131592
43 SRX5879909_SRR9104958 GSE131592_GSM3790523 GSM3790523 GSM3790523 GSE131592
44 SRX5879891_SRR9104940 GSE131592_GSM3790505 GSM3790505 GSM3790505 GSE131592
45 SRX5879814_SRR9104863 GSE131592_GSM3790428 GSM3790428 GSM3790428 GSE131592
46 trimmed_SRX5879824_SRR9104873 trimmed_GSE131592_GSM3790438 trimmed_GSM3790438 trimmed_GSM3790438 GSE131592
47 SRX5879906_SRR9104955 GSE131592_GSM3790520 GSM3790520 GSM3790520 GSE131592
48 SRX5879887_SRR9104936 GSE131592_GSM3790501 GSM3790501 GSM3790501 GSE131592
49 trimmed_SRX5879853_SRR9104902 trimmed_GSE131592_GSM3790467 trimmed_GSM3790467 trimmed_GSM3790467 GSE131592
50 trimmed_SRX5879854_SRR9104903 trimmed_GSE131592_GSM3790468 trimmed_GSM3790468 trimmed_GSM3790468 GSE131592
51 trimmed_SRX5879872_SRR9104921 trimmed_GSE131592_GSM3790486 trimmed_GSM3790486 trimmed_GSM3790486 GSE131592
52 SRX5879857_SRR9104906 GSE131592_GSM3790471 GSM3790471 GSM3790471 GSE131592
53 SRX5879897_SRR9104946 GSE131592_GSM3790511 GSM3790511 GSM3790511 GSE131592
54 trimmed_SRX5879857_SRR9104906 trimmed_GSE131592_GSM3790471 trimmed_GSM3790471 trimmed_GSM3790471 GSE131592
55 trimmed_SRX5879830_SRR9104879 trimmed_GSE131592_GSM3790444 trimmed_GSM3790444 trimmed_GSM3790444 GSE131592
56 SRX5879858_SRR9104907 GSE131592_GSM3790472 GSM3790472 GSM3790472 GSE131592
57 trimmed_SRX5879890_SRR9104939 trimmed_GSE131592_GSM3790504 trimmed_GSM3790504 trimmed_GSM3790504 GSE131592
58 SRX5879822_SRR9104871 GSE131592_GSM3790436 GSM3790436 GSM3790436 GSE131592
59 SRX5879893_SRR9104942 GSE131592_GSM3790507 GSM3790507 GSM3790507 GSE131592
60 SRX5879903_SRR9104952 GSE131592_GSM3790517 GSM3790517 GSM3790517 GSE131592
61 SRX5879890_SRR9104939 GSE131592_GSM3790504 GSM3790504 GSM3790504 GSE131592
62 trimmed_SRX5879822_SRR9104871 trimmed_GSE131592_GSM3790436 trimmed_GSM3790436 trimmed_GSM3790436 GSE131592
63 SRX5879863_SRR9104912 GSE131592_GSM3790477 GSM3790477 GSM3790477 GSE131592
64 SRX5879842_SRR9104891 GSE131592_GSM3790456 GSM3790456 GSM3790456 GSE131592
65 trimmed_SRX5879906_SRR9104955 trimmed_GSE131592_GSM3790520 trimmed_GSM3790520 trimmed_GSM3790520 GSE131592
66 trimmed_SRX5879831_SRR9104880 trimmed_GSE131592_GSM3790445 trimmed_GSM3790445 trimmed_GSM3790445 GSE131592
67 SRX5879873_SRR9104922 GSE131592_GSM3790487 GSM3790487 GSM3790487 GSE131592
68 SRX5879865_SRR9104914 GSE131592_GSM3790479 GSM3790479 GSM3790479 GSE131592
69 trimmed_SRX5879894_SRR9104943 trimmed_GSE131592_GSM3790508 trimmed_GSM3790508 trimmed_GSM3790508 GSE131592
70 SRX5879896_SRR9104945 GSE131592_GSM3790510 GSM3790510 GSM3790510 GSE131592
