transcriptclusterid,NM,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
7936050,NM_000102,CYP17A1,7.908341015,8.820458897,10.28443929,3.30443E-14,1.04689E-12,21.99768145
7990333,NM_000781,CYP11A1,6.850715747,9.504961826,15.06012199,9.55294E-21,1.83864E-18,37.00365932
8037949,NM_003167,SULT2A1,6.603893008,6.642797217,24.35463225,2.30042E-30,5.47123E-27,58.7930491
8150253,NM_000349,STAR,6.197194422,9.664878597,16.44126646,2.07418E-22,5.95379E-20,40.80494279
8022412,NM_000529,MC2R,5.961026661,5.895098112,46.27460601,2.19469E-44,7.30767E-40,88.82343123
8153363,NM_000497,CYP11B1,5.579178725,7.899104899,20.67701527,5.77824E-27,6.20639E-24,51.15286445
8102831,NM_032623,MGARP,5.214289455,8.725093405,15.08463153,8.90793E-21,1.73455E-18,37.07312829
8127072,NM_145740,GSTA1,5.149890005,7.800685102,16.63636202,1.22885E-22,3.78862E-20,41.32373661
8171653,NM_001001671,MAP3K15,5.108443098,7.368808451,21.01507037,2.69005E-27,2.98569E-24,51.90264692
8104758,NM_000908,NPR3,4.622826031,8.15492236,18.37422602,1.38836E-24,7.22318E-22,45.75759173
8134376,NM_145872,ASB4,4.603793206,5.931816076,35.47564744,1.74342E-38,2.90253E-34,76.56857924
8103769,NM_000860,HPGD,4.460751365,7.561336626,12.90442312,5.97026E-18,5.15005E-16,30.59589374
8100655,NM_000406,GNRHR,4.43290658,6.460571757,16.13969172,4.69795E-22,1.26151E-19,39.99431081
8104746,NM_000908,NPR3,4.383548118,8.388283249,18.71212751,6.01937E-25,3.64413E-22,46.58215175
8105084,NM_000587,C7,4.339984718,8.995893714,10.62991568,1.00951E-14,3.60661E-13,23.18111786
7976488,NM_000624,SERPINA5,4.264983503,7.974835463,14.26195508,9.68467E-20,1.42686E-17,34.70038625
8065756,ENST00000449115,FDX1P1,4.257095733,7.73127381,15.22340694,6.00425E-21,1.24176E-18,37.46507241
7967544,ENST00000535005,SCARB1,4.150238308,9.160860965,9.069543231,2.3815E-12,4.87081E-11,17.72981982
8169115,NM_198465,NRK,4.093995342,10.11163458,14.38601624,6.72218E-20,1.02674E-17,35.06365475
8178177,NM_000500,CYP21A2,4.093790015,7.078270764,13.32999063,1.59948E-18,1.63022E-16,31.90834087
8179440,NM_000500,CYP21A2,4.093790015,7.078270764,13.32999063,1.59948E-18,1.63022E-16,31.90834087
8118498,NM_000500,CYP21A2,4.053908684,7.179363196,13.43715224,1.15218E-18,1.22179E-16,32.2351
7943721,NM_004109,FDX1,4.026762483,8.656534459,13.53013128,8.67822E-19,9.50521E-17,32.51740299
7928944,NM_001015880,PAPSS2,4.002804089,8.275411322,11.93029869,1.3285E-16,7.88501E-15,27.50234139
7916432,NM_014762,DHCR24,3.995117387,10.99711576,11.23819193,1.29663E-15,5.84222E-14,25.22921587
8175263,NM_021796,PLAC1,3.985936291,8.115212854,24.50814494,1.69564E-30,4.70498E-27,59.08888209
7989199,NM_001206897,ALDH1A2,3.976253488,8.765706753,16.71567443,9.94484E-23,3.18398E-20,41.53339192
8079422,NM_001174136,TDGF1,3.964354135,7.00475197,14.49245144,4.92176E-20,7.9169E-18,35.37375704
8056327,NM_004490,GRB14,3.962502379,7.231626196,21.42493612,1.07849E-27,1.38117E-24,52.79805105
7995783,NM_005953,MT2A,3.948475989,9.346753639,12.55446875,1.79444E-17,1.34268E-15,29.49885945
7902518,NM_017655,GIPC2,3.940518492,7.612156882,19.97213265,2.93781E-26,2.50821E-23,49.55578868
