"","x"
"1","GOBP_ADRENAL_GLAND_DEVELOPMENT"
"2","GOBP_ASTROCYTE_DEVELOPMENT"
"3","GOBP_BONE_DEVELOPMENT"
"4","GOBP_BONE_MORPHOGENESIS"
"5","GOBP_BRAIN_MORPHOGENESIS"
"6","GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT"
"7","GOBP_DIGESTIVE_TRACT_MORPHOGENESIS"
"8","GOBP_EMBRYO_DEVELOPMENT"
"9","GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING"
"10","GOBP_EMBRYO_IMPLANTATION"
"11","GOBP_EMBRYONIC_APPENDAGE_MORPHOGENESIS"
"12","GOBP_EMBRYONIC_AXIS_SPECIFICATION"
"13","GOBP_EMBRYONIC_BODY_MORPHOGENESIS"
"14","GOBP_EMBRYONIC_BRAIN_DEVELOPMENT"
"15","GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT"
"16","GOBP_EMBRYONIC_CAMERA_TYPE_EYE_FORMATION"
"17","GOBP_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS"
"18","GOBP_EMBRYONIC_CLEAVAGE"
"19","GOBP_EMBRYONIC_CRANIAL_SKELETON_MORPHOGENESIS"
"20","GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT"
"21","GOBP_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS"
"22","GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS"
"23","GOBP_EMBRYONIC_EPITHELIAL_TUBE_FORMATION"
"24","GOBP_EMBRYONIC_EYE_MORPHOGENESIS"
"25","GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS"
"26","GOBP_EMBRYONIC_HEART_TUBE_DEVELOPMENT"
"27","GOBP_EMBRYONIC_HEART_TUBE_LEFT_RIGHT_PATTERN_FORMATION"
"28","GOBP_EMBRYONIC_HEART_TUBE_MORPHOGENESIS"
"29","GOBP_EMBRYONIC_HEMOPOIESIS"
"30","GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS"
"31","GOBP_EMBRYONIC_MORPHOGENESIS"
"32","GOBP_EMBRYONIC_NEUROCRANIUM_MORPHOGENESIS"
"33","GOBP_EMBRYONIC_OLFACTORY_BULB_INTERNEURON_PRECURSOR_MIGRATION"
"34","GOBP_EMBRYONIC_ORGAN_DEVELOPMENT"
"35","GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS"
"36","GOBP_EMBRYONIC_PATTERN_SPECIFICATION"
"37","GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT"
"38","GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS"
"39","GOBP_EMBRYONIC_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY"
"40","GOBP_EMBRYONIC_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE"
"41","GOBP_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT"
"42","GOBP_EMBRYONIC_SKELETAL_JOINT_MORPHOGENESIS"
"43","GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT"
"44","GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS"
"45","GOBP_EMBRYONIC_VISCEROCRANIUM_MORPHOGENESIS"
"46","GOBP_GLIAL_CELL_DEVELOPMENT"
"47","GOBP_IMMUNE_SYSTEM_DEVELOPMENT"
"48","GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"
"49","GOBP_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"50","GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT"
"51","GOBP_KIDNEY_MESENCHYME_DEVELOPMENT"
"52","GOBP_KIDNEY_MORPHOGENESIS"
"53","GOBP_LIVER_MORPHOGENESIS"
"54","GOBP_LUNG_EPITHELIUM_DEVELOPMENT"
"55","GOBP_LUNG_MORPHOGENESIS"
"56","GOBP_MUSCLE_ORGAN_DEVELOPMENT"
"57","GOBP_MUSCLE_ORGAN_MORPHOGENESIS"
"58","GOBP_MUSCLE_TISSUE_DEVELOPMENT"
"59","GOBP_PANCREAS_DEVELOPMENT"
"60","GOBP_PROSTATE_GLAND_DEVELOPMENT"
"61","GOBP_PROSTATE_GLAND_MORPHOGENESIS"
"62","GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT"
"63","GOBP_SKIN_DEVELOPMENT"
"64","GOBP_SKIN_EPIDERMIS_DEVELOPMENT"
"65","GOBP_SKIN_MORPHOGENESIS"
"66","GOBP_STOMACH_DEVELOPMENT"
"67","GOBP_THYROID_GLAND_DEVELOPMENT"
"68","GOBP_UTERUS_DEVELOPMENT"
"69","GOBP_UTERUS_MORPHOGENESIS"
