"Description","Gene.Name","HIF1A","NFKB1","PPARD","STAT1","IRF3","STAT5A","IRF5","PPARG","KDM6B","KLF4","MYC","IRF4","STAT6","IFNB1","RELA","JUN","SOCS3","SOCS1"
"Ensembl Gene ID","Ensembl ID","ENSG00000100644","ENSG00000109320","ENSG00000112033","ENSG00000115415","ENSG00000126456","ENSG00000126561","ENSG00000128604","ENSG00000132170","ENSG00000132510","ENSG00000136826","ENSG00000136997","ENSG00000137265","ENSG00000166888","ENSG00000171855","ENSG00000173039","ENSG00000177606","ENSG00000184557","ENSG00000185338"
"Type of the primary RNA generated from the gene","Gene Type","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding"
"Location of the gene in the human hg38 genome linked to the UCSC genome browser. The UCSC link contains transcription factor binding information (ChIP-seq tracks and motif tracks) and a summary thereof (peak-of-peak denotes the summary of peaks identified in the respective ChIP-seq datasets)","Genomic Position (UCSC link)","chr14:61695513-61748259","chr4:102501331-102617302","chr6:35342558-35428191","chr2:190908460-191020960","chr19:49659569-49665875","chr17:42287547-42311943","chr7:128937457-128950038","chr3:12287368-12434356","chr17:7839904-7854796","chr9:107484852-107490482","chr8:127735434-127742951","chr6:391752-411443","chr12:57095408-57132139","chr9:21077104-21077942","chr11:65653597-65663090","chr1:58776845-58784048","chr17:78356778-78360077","chr16:11254408-11256204"
"Summary of the 57 p53 gene expression profiling datasets. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -55 to +57.","p53 Expression Score (-55 to 57)","3","-8","-4","12","0","-7","16","-12","33","3","-20","1","12","0","-3","4","-4","3"
"The median log2 fold-change observed in the 57 p53 gene expression profiling datasets.","p53 median log2FC","0.08","-0.05","-0.01","0.12","-0.03","-0.03","0.26","-0.19","0.58","0.01","-0.34","-0.04","0.22","0.06","0","0.15","-0.12","-0.03"
"A p53 binding site that is supported by at least five p53 ChIP-seq datasets (see UCSC link for detailed information) is located within 2.5 kb of any of the transcription start sites (TSS) annotated for the gene.","p53-bound TSS","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no"
"A p53 binding site that is supported by at least five p53 ChIP-seq datasets (see UCSC link for detailed information) is located in an enhancer that is linked to the gene. Based on double-elite enhancer:gene associations from GeneHancer.","p53-bound enhancer","no","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","yes","yes","no","no"
"The gene has been identified as a high probability direct target of the transcription factor and tumor suppressor RFX7. p53 activates RFX7 to expand the p53 transcriptional program.","RFX7 target","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"The Cell Cycle Expression Score reflects the number of datasets that identified the gene as being expressed in an oscillating pattern through the cell cycle. Range 0 to 9.","Cell Cycle Expression Score (0 to 9)","3","4","1","4","1","2","1","1","2","2","2","0","1","0","1","3","1","1"
"Cell cycle genes are categorized as G1/S or G2/M, reflecting the two major waves of cell cycle-dependent gene expression during the cell cycle. Therefore, peak phases identified by the individual datasets (see below section ‘cell cycle-dependent gene regulation’) were summarized. ‘G1’, ‘G1/S’, and ‘S’ were jointly considered as ‘G1/S’, while ‘G2’, ‘G2/M’, ‘M’, and ‘M/G1’ were jointly considered as ‘G2/M’. Category information is displayed for all genes that were identified as cell cycle genes in at least three datasets. Categorization is based on a majority vote by the datasets, and a draw is designated as ‘UNCLEAR’.","Cell Cycle Gene Category","G2/M","UNCLEAR","-","G2/M","-","-","-","-","-","-","-","-","-","-","-","G2/M","-","-"
