"Description","Gene.Name","DKK3","WNT11","TSPO","SALL1","MDK","APOA1","CDKN1C","PDGFRA","NR5A1","STRA6","CYP1B1","ASCL1","ARMC5","SMAD4","CRH","ARID5B","LY6E","WNT4","CITED2","SMAD3","NR0B1","INSR","INSM1","SMAD2","WT1","PBX1","NF1"
"Ensembl Gene ID","Ensembl ID","ENSG00000050165","ENSG00000085741","ENSG00000100300","ENSG00000103449","ENSG00000110492","ENSG00000118137","ENSG00000129757","ENSG00000134853","ENSG00000136931","ENSG00000137868","ENSG00000138061","ENSG00000139352","ENSG00000140691","ENSG00000141646","ENSG00000147571","ENSG00000150347","ENSG00000160932","ENSG00000162552","ENSG00000164442","ENSG00000166949","ENSG00000169297","ENSG00000171105","ENSG00000173404","ENSG00000175387","ENSG00000184937","ENSG00000185630","ENSG00000196712"
"Type of the primary RNA generated from the gene","Gene Type","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding","protein_coding"
"Location of the gene in the human hg38 genome linked to the UCSC genome browser. The UCSC link contains transcription factor binding information (ChIP-seq tracks and motif tracks) and a summary thereof (peak-of-peak denotes the summary of peaks identified in the respective ChIP-seq datasets)","Genomic Position (UCSC link)","chr11:11956207-12009769","chr11:76186325-76210736","chr22:43151547-43163242","chr16:51135975-51151367","chr11:46380756-46383837","chr11:116835751-116837622","chr11:2883213-2885775","chr4:54229280-54298245","chr9:124481236-124507420","chr15:74179466-74212267","chr2:38066973-38109902","chr12:102957674-102960513","chr16:31458080-31467166","chr18:51028394-51085045","chr8:66176376-66178464","chr10:61901684-62096944","chr8:143017982-143023832","chr1:22117313-22143969","chr6:139371807-139374648","chr15:67063763-67195169","chrX:30304206-30309390","chr19:7112255-7294414","chr20:20368104-20370949","chr18:47808957-47931146","chr11:32387775-32435564","chr1:164555584-164899296","chr17:31094927-31382116"
"Summary of the 57 p53 gene expression profiling datasets. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -55 to +57.","p53 Expression Score (-55 to 57)","19","7","9","-7","0","4","0","-13","6","7","5","0","14","-10","6","5","-2","13","14","16","7","-2","3","-6","-2","-8","-1"
"The median log2 fold-change observed in the 57 p53 gene expression profiling datasets.","p53 median log2FC","0.27","0.11","0.19","-0.04","0","0.15","0.06","-0.12","0.36","0.25","0.01","0.39","0.19","-0.15","1.06","0.07","-0.02","0.37","0.16","0.14","0.12","-0.04","0.11","-0.09","0.06","-0.06","0.08"
"A p53 binding site that is supported by at least five p53 ChIP-seq datasets (see UCSC link for detailed information) is located within 2.5 kb of any of the transcription start sites (TSS) annotated for the gene.","p53-bound TSS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no"
"A p53 binding site that is supported by at least five p53 ChIP-seq datasets (see UCSC link for detailed information) is located in an enhancer that is linked to the gene. Based on double-elite enhancer:gene associations from GeneHancer.","p53-bound enhancer","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no"
"The gene has been identified as a high probability direct target of the transcription factor and tumor suppressor RFX7. p53 activates RFX7 to expand the p53 transcriptional program.","RFX7 target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"The Cell Cycle Expression Score reflects the number of datasets that identified the gene as being expressed in an oscillating pattern through the cell cycle. Range 0 to 9.","Cell Cycle Expression Score (0 to 9)","1","1","1","1","2","0","2","2","0","1","2","2","2","1","0","4","2","1","2","4","2","4","1","1","1","2","2"
"Cell cycle genes are categorized as G1/S or G2/M, reflecting the two major waves of cell cycle-dependent gene expression during the cell cycle. Therefore, peak phases identified by the individual datasets (see below section ‘cell cycle-dependent gene regulation’) were summarized. ‘G1’, ‘G1/S’, and ‘S’ were jointly considered as ‘G1/S’, while ‘G2’, ‘G2/M’, ‘M’, and ‘M/G1’ were jointly considered as ‘G2/M’. Category information is displayed for all genes that were identified as cell cycle genes in at least three datasets. Categorization is based on a majority vote by the datasets, and a draw is designated as ‘UNCLEAR’.","Cell Cycle Gene Category","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","G1/S","-","-","-","G2/M","-","G1/S","-","-","-","-","-"
"The gene has been identified as a high probability direct target of the trans-repressor complex DREAM. The complex is known to repress cell cycle genes during G0 and G1 phases as well as in response to p53 signaling.","DREAM target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"The gene has been identified as a high probability direct target of the trans-activator complex MMB:FOXM1. The complex is known to activate cell cycle genes during G2 and M phases.","MMB:FOXM1 target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"The gene has been identified as a high probability direct target of the trans-repressor complex RB:E2F. The complex is known to repress cell cycle genes during G0 and G1 phases as well as in response to p53 signaling.","RB:E2F target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no"
"Summary of 16 deltaNp63 gene expression profiling datasets. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -12 to +14.","ΔNp63 Expression Score (-12 to 14)","3","-2","-3","0","-5","0","-4","0","-","-2","-10","-","1","-1","-","2","-3","1","-7","1","1","-3","-","-3","-","-8","2"
"The gene has been identified as a high probability direct target of the p53 sibling and oncogenic transcription factor deltaNp63.","ΔNp63 target","no","no","no","no","no","no","no","no","-","no","no","-","no","no","-","no","no","no","no","no","no","no","-","no","-","no","no"
"The gene has been identified as a potential direct target of the p53 sibling and oncogenic transcription factor deltaNp63.","potential ΔNp63 target","yes","no","no","no","no","no","no","no","-","no","yes","-","no","no","-","no","yes","no","yes","no","no","no","-","no","-","yes","no"
"UniProt / SwissProt ID","UniProtKB ID","Q9UBP4","-","B1AH88","-","-","-","-","-","-","Q9BX79","Q16678","-","Q96C12","Q13485","-","Q14865","-","-","-","P84022","-","-","-","Q15796","-","P40424","P21359"
"Summary of the five p53 protein expression profiling datasets. Reflects the number of datasets that identify a protein as significantly up-regulated minus the number of datasets that identify the protein as significantly down-regulated. Range -5 to +5.","p53 Expression Score Protein (-5 to 5)","1","-","0","-","-","-","-","-","-","0","0","-","-1","0","-","0","-","-","-","1","-","-","-","0","-","-1","1"
"The median log2 fold-change observed in the five p53 protein expression profiling datasets.","p53 median log2FC (protein)","0.31","-","0.17","-","-","-","-","-","-","-0.14","-0.04","-","-0.35","-0.15","-","-0.10","-","-","-","0.09","-","-","-","-0.18","-","-0.46","-0.05"
"Mouse Ensembl Gene ID","Mouse Ensembl ID","ENSMUSG00000030772","ENSMUSG00000015957","ENSMUSG00000041736","ENSMUSG00000031665","ENSMUSG00000027239","ENSMUSG00000032083","ENSMUSG00000037664","ENSMUSG00000029231","ENSMUSG00000026751","ENSMUSG00000032327","ENSMUSG00000024087","ENSMUSG00000020052","ENSMUSG00000042178","ENSMUSG00000024515","ENSMUSG00000049796","ENSMUSG00000019947","ENSMUSG00000022587","ENSMUSG00000036856","ENSMUSG00000039910","ENSMUSG00000032402","ENSMUSG00000025056","ENSMUSG00000005534","ENSMUSG00000068154","ENSMUSG00000024563","ENSMUSG00000016458","ENSMUSG00000052534","ENSMUSG00000020716"
"Location of the gene in the mouse mm10 genome linked to the UCSC genome browser. The UCSC link contains p53 binding information (ChIP-seq tracks) and a summary thereof (peak-of-peak denotes the summary of peaks identified in the ChIP-seq datasets)","Mouse Genomic Position","chr7:112116017-112159057","chr7:98835112-98855195","chr15:83563592-83574203","chr8:89027235-89044162","chr2:91929805-91932297","chr9:46228580-46230466","chr7:143458339-143461050","chr5:75152292-75198215","chr2:38692656-38714542","chr9:58063788-58153996","chr17:79701537-79715061","chr10:87490819-87493660","chr7:128237342-128245100","chr18:73639009-73703780","chr3:19693401-19695396","chr10:68092520-68278740","chr15:74955051-74959905","chr4:137277489-137299726","chr10:17723218-17725674","chr9:63646767-63757994","chrX:86191764-86195947","chr8:3122061-3279617","chr2:146221921-146225020","chr18:76241580-76310963","chr2:105126529-105173616","chr1:168119364-168432270","chr11:79339693-79581612"
"Mouse Gene Symbol","Mouse Gene Name","Dkk3","Wnt11","Tspo","Sall1","Mdk","Apoa1","Cdkn1c","Pdgfra","Nr5a1","Stra6","Cyp1b1","Ascl1","Armc5","Smad4","Crh","Arid5b","Ly6e","Wnt4","Cited2","Smad3","Nr0b1","Insr","Insm1","Smad2","Wt1","Pbx1","Nf1"
"Summary of the 15 p53 gene expression profiling datasets from mouse. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -13 to +15.","Mouse p53 Expression Score (-13 to 15)","-3","1","-1","-1","2","0","5","-2","0","4","-4","0","1","-1","0","-1","1","6","-1","4","-1","-4","1","-1","-1","-6","-1"
"The gene has been identified as a high probability direct target of mouse p53.","Mouse p53 target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
