"ensembl_gene_id" "hgnc_symbol" "chromosome_name" "start_position" "end_position" "strand" "length"
"1" "ENSG00000000457" "SCYL3" "1" 169849631 169894267 -1 44636
"2" "ENSG00000000460" "C1orf112" "1" 169662007 169854080 1 192073
"3" "ENSG00000000938" "FGR" "1" 27612064 27635185 -1 23121
"4" "ENSG00000000971" "CFH" "1" 196652043 196747504 1 95461
"5" "ENSG00000001460" "STPG1" "1" 24356999 24416934 -1 59935
"6" "ENSG00000001461" "NIPAL3" "1" 24415802 24472976 1 57174
"7" "ENSG00000004455" "AK2" "1" 33007940 33080996 -1 73056
"8" "ENSG00000004487" "KDM1A" "1" 23019443 23083689 1 64246
"9" "ENSG00000006555" "TTC22" "1" 54779712 54801323 -1 21611
"10" "ENSG00000007341" "ST7L" "1" 112523514 112620825 -1 97311
"11" "ENSG00000007908" "SELE" "1" 169722640 169764705 -1 42065
"12" "ENSG00000007923" "DNAJC11" "1" 6634168 6701924 -1 67756
"13" "ENSG00000007933" "FMO3" "1" 171090901 171117819 1 26918
"14" "ENSG00000007968" "E2F2" "1" 23506438 23531233 -1 24795
"15" "ENSG00000008118" "CAMK1G" "1" 209583714 209613939 1 30225
"16" "ENSG00000008128" "CDK11A" "1" 1702379 1724357 -1 21978
"17" "ENSG00000008130" "NADK" "1" 1751232 1780457 -1 29225
"18" "ENSG00000009307" "CSDE1" "1" 114716913 114758676 -1 41763
"19" "ENSG00000009709" "PAX7" "1" 18630846 18748866 1 118020
"20" "ENSG00000009724" "MASP2" "1" 11026523 11047239 -1 20716
"21" "ENSG00000009780" "FAM76A" "1" 27725961 27763116 1 37155
"22" "ENSG00000009790" "TRAF3IP3" "1" 209756032 209782320 1 26288
"23" "ENSG00000010165" "METTL13" "1" 171781660 171814023 1 32363
"24" "ENSG00000010803" "SCMH1" "1" 41027200 41242154 -1 214954
"25" "ENSG00000010932" "FMO1" "1" 171248471 171285978 1 37507
"26" "ENSG00000011007" "ELOA" "1" 23743448 23762059 1 18611
"27" "ENSG00000011009" "LYPLA2" "1" 23791145 23795539 1 4394
"28" "ENSG00000011021" "CLCN6" "1" 11806096 11848079 1 41983
"29" "ENSG00000014914" "MTMR11" "1" 149928651 149936879 -1 8228
"30" "ENSG00000016490" "CLCA1" "1" 86468368 86500259 1 31891
"31" "ENSG00000016602" "CLCA4" "1" 86547078 86580754 1 33676
"32" "ENSG00000018625" "ATP1A2" "1" 160115759 160143591 1 27832
"33" "ENSG00000020129" "NCDN" "1" 35557473 35567274 1 9801
"34" "ENSG00000020633" "RUNX3" "1" 24899511 24965121 -1 65610
"35" "ENSG00000021852" "C8B" "1" 56929207 56966140 -1 36933
"36" "ENSG00000023572" "GLRX2" "1" 193090866 193106114 -1 15248
"37" "ENSG00000023902" "PLEKHO1" "1" 150149183 150164720 1 15537
"38" "ENSG00000023909" "GCLM" "1" 93885199 93909456 -1 24257
"39" "ENSG00000024526" "DEPDC1" "1" 68474152 68497221 -1 23069
"40" "ENSG00000025800" "KPNA6" "1" 32108056 32176563 1 68507
"41" "ENSG00000026751" "SLAMF7" "1" 160739057 160754821 1 15764
"42" "ENSG00000027644" "INSRR" "1" 156840063 156859117 -1 19054
"43" "ENSG00000027869" "SH2D2A" "1" 156806243 156816848 -1 10605
"44" "ENSG00000028137" "TNFRSF1B" "1" 12166991 12209228 1 42237
"45" "ENSG00000031698" "SARS1" "1" 109213918 109238182 1 24264
"46" "ENSG00000033122" "LRRC7" "1" 69567922 70151945 1 584023
"47" "ENSG00000034971" "MYOC" "1" 171635417 171652688 -1 17271
"48" "ENSG00000036549" "ZZZ3" "1" 77562416 77683419 -1 121003
"49" "ENSG00000037637" "FBXO42" "1" 16246840 16352480 -1 105640
"50" "ENSG00000040487" "SLC66A1" "1" 19312326 19329300 1 16974
"51" "ENSG00000041988" "THAP3" "1" 6624868 6635586 1 10718
"52" "ENSG00000042781" "USH2A" "1" 215622891 216423448 -1 800557
"53" "ENSG00000043514" "TRIT1" "1" 39838110 39883511 -1 45401
"54" "ENSG00000044012" "GUCA2B" "1" 42153410 42155820 1 2410
"55" "ENSG00000047410" "TPR" "1" 186311652 186375693 -1 64041
"56" "ENSG00000048707" "VPS13D" "1" 12230030 12512047 1 282017
"57" "ENSG00000049089" "COL9A2" "1" 40300489 40317813 -1 17324
"58" "ENSG00000049239" "H6PD" "1" 9234774 9271337 1 36563
"59" "ENSG00000049245" "VAMP3" "1" 7771296 7781432 1 10136
"60" "ENSG00000049246" "PER3" "1" 7784291 7845177 1 60886
"61" "ENSG00000049247" "UTS2" "1" 7843083 7853512 -1 10429
"62" "ENSG00000049249" "TNFRSF9" "1" 7915871 7943165 -1 27294
"63" "ENSG00000050628" "PTGER3" "1" 70852353 71047816 -1 195463
"64" "ENSG00000052723" "SIKE1" "1" 114769479 114780685 -1 11206
"65" "ENSG00000053371" "AKR7A2" "1" 19303965 19312144 -1 8179
"66" "ENSG00000053372" "MRTO4" "1" 19251805 19260128 1 8323
"67" "ENSG00000054116" "TRAPPC3" "1" 36136570 36156053 -1 19483
"68" "ENSG00000054118" "THRAP3" "1" 36224432 36305357 1 80925
"69" "ENSG00000054392" "HHAT" "1" 210328252 210676296 1 348044
"70" "ENSG00000054523" "KIF1B" "1" 10210570 10381603 1 171033
"71" "ENSG00000055070" "SZRD1" "1" 16352575 16398145 1 45570
"72" "ENSG00000055732" "MCOLN3" "1" 85018082 85048500 -1 30418
"73" "ENSG00000057252" "SOAT1" "1" 179293714 179358680 1 64966
"74" "ENSG00000057468" "MSH4" "1" 75796882 75913242 1 116360
"75" "ENSG00000057757" "PITHD1" "1" 23778418 23788232 1 9814
"76" "ENSG00000058085" "LAMC2" "1" 183186238 183245127 1 58889
"77" "ENSG00000058453" "CROCC" "1" 16740273 16972964 1 232691
"78" "ENSG00000058668" "ATP2B4" "1" 203626787 203744081 1 117294
"79" "ENSG00000058673" "ZC3H11A" "1" 203795623 203854999 1 59376
"80" "ENSG00000058799" "YIPF1" "1" 53851719 53889798 -1 38079
"81" "ENSG00000058804" "NDC1" "1" 53765478 53838463 -1 72985
"82" "ENSG00000060642" "PIGV" "1" 26787054 26800659 1 13605
"83" "ENSG00000060656" "PTPRU" "1" 29236516 29326813 1 90297
"84" "ENSG00000060688" "SNRNP40" "1" 31259568 31296788 -1 37220
"85" "ENSG00000060718" "COL11A1" "1" 102876467 103108872 -1 232405
"86" "ENSG00000064703" "DDX20" "1" 111754832 111775602 1 20770
"87" "ENSG00000064886" "CHI3L2" "1" 111200771 111243440 1 42669
"88" "ENSG00000065135" "GNAI3" "1" 109548615 109600195 1 51580
"89" "ENSG00000065183" "WDR3" "1" 117929720 117966543 1 36823
"90" "ENSG00000065243" "PKN2" "1" 88684222 88836255 1 152033
"91" "ENSG00000065526" "SPEN" "1" 15836095 15940456 1 104361
"92" "ENSG00000065600" "PACC1" "1" 212363928 212414901 -1 50973
"93" "ENSG00000065978" "YBX1" "1" 42682418 42703805 1 21387
"94" "ENSG00000066027" "PPP2R5A" "1" 212285410 212361853 1 76443
"95" "ENSG00000066056" "TIE1" "1" 43300982 43323108 1 22126
"96" "ENSG00000066135" "KDM4A" "1" 43650149 43705518 1 55369
"97" "ENSG00000066136" "NFYC" "1" 40691648 40771603 1 79955
"98" "ENSG00000066185" "ZMYND12" "1" 42430329 42456253 -1 25924
"99" "ENSG00000066279" "ASPM" "1" 197084121 197146694 -1 62573
"100" "ENSG00000066294" "CD84" "1" 160541095 160579516 -1 38421
"101" "ENSG00000066322" "ELOVL1" "1" 43363398 43368074 -1 4676
"102" "ENSG00000066557" "LRRC40" "1" 70144805 70205579 -1 60774
"103" "ENSG00000067208" "EVI5" "1" 92508696 92792404 -1 283708
"104" "ENSG00000067334" "DNTTIP2" "1" 93866284 93879918 -1 13634
"105" "ENSG00000067533" "RRP15" "1" 218285293 218337983 1 52690
"106" "ENSG00000067606" "PRKCZ" "1" 2050411 2185395 1 134984
"107" "ENSG00000067704" "IARS2" "1" 220094132 220148041 1 53909
"108" "ENSG00000069275" "NUCKS1" "1" 205712822 205750182 -1 37360
"109" "ENSG00000069424" "KCNAB2" "1" 5990927 6101193 1 110266
"110" "ENSG00000069702" "TGFBR3" "1" 91680343 91906335 -1 225992
"111" "ENSG00000069812" "HES2" "1" 6412418 6424670 -1 12252
"112" "ENSG00000070759" "TESK2" "1" 45343883 45491163 -1 147280
"113" "ENSG00000070785" "EIF2B3" "1" 44850522 44986722 -1 136200
"114" "ENSG00000070831" "CDC42" "1" 22025511 22101360 1 75849
"115" "ENSG00000070886" "EPHA8" "1" 22563489 22603595 1 40106
"116" "ENSG00000072694" "FCGR2B" "1" 161663143 161678654 1 15511
"117" "ENSG00000073754" "CD5L" "1" 157830911 157898256 -1 67345
"118" "ENSG00000073756" "PTGS2" "1" 186671791 186680922 -1 9131
"119" "ENSG00000074800" "ENO1" "1" 8861000 8879190 -1 18190
"120" "ENSG00000074964" "ARHGEF10L" "1" 17539698 17697874 1 158176
"121" "ENSG00000075151" "EIF4G3" "1" 20806292 21177285 -1 370993
"122" "ENSG00000075391" "RASAL2" "1" 178094104 178484147 1 390043
"123" "ENSG00000075945" "KIFAP3" "1" 169921326 170085208 -1 163882
"124" "ENSG00000076258" "FMO4" "1" 171314183 171342084 1 27901
"125" "ENSG00000076321" "KLHL20" "1" 173714941 173786692 1 71751
"126" "ENSG00000076356" "PLXNA2" "1" 208022242 208244384 -1 222142
"127" "ENSG00000076864" "RAP1GAP" "1" 21596221 21669357 -1 73136
"128" "ENSG00000077152" "UBE2T" "1" 202331657 202341980 -1 10323
"129" "ENSG00000077157" "PPP1R12B" "1" 202348699 202592706 1 244007
"130" "ENSG00000077254" "USP33" "1" 77695987 77759852 -1 63865
"131" "ENSG00000077549" "CAPZB" "1" 19338775 19485539 -1 146764
"132" "ENSG00000078369" "GNB1" "1" 1785285 1891117 -1 105832
"133" "ENSG00000078618" "NRDC" "1" 51789191 51878805 -1 89614
"134" "ENSG00000078808" "SDF4" "1" 1216909 1232067 -1 15158
"135" "ENSG00000078900" "TP73" "1" 3652516 3736201 1 83685
"136" "ENSG00000079277" "MKNK1" "1" 46557407 46616843 -1 59436
"137" "ENSG00000079335" "CDC14A" "1" 100345001 100520277 1 175276
"138" "ENSG00000079739" "PGM1" "1" 63593411 63660245 1 66834
"139" "ENSG00000080910" "CFHR2" "1" 196943738 196959622 1 15884
"140" "ENSG00000080947" "CROCCP3" "1" 16467436 16499257 -1 31821
"141" "ENSG00000081019" "RSBN1" "1" 113761832 113812476 -1 50644
"142" "ENSG00000081026" "MAGI3" "1" 113390515 113685923 1 295408
"143" "ENSG00000081237" "PTPRC" "1" 198638457 198757476 1 119019
"144" "ENSG00000081248" "CACNA1S" "1" 201039512 201112451 -1 72939
"145" "ENSG00000081277" "PKP1" "1" 201283452 201332993 1 49541
"146" "ENSG00000081692" "JMJD4" "1" 227730425 227735411 -1 4986
"147" "ENSG00000081721" "DUSP12" "1" 161749758 161757238 1 7480
"148" "ENSG00000081870" "HSPB11" "1" 53916574 53945699 -1 29125
"149" "ENSG00000081985" "IL12RB2" "1" 67307364 67398724 1 91360
"150" "ENSG00000082482" "KCNK2" "1" 215005775 215237090 1 231315
"151" "ENSG00000082497" "SERTAD4" "1" 210232796 210246631 1 13835
"152" "ENSG00000082512" "TRAF5" "1" 211326615 211374946 1 48331
"153" "ENSG00000083444" "PLOD1" "1" 11934205 11975538 1 41333
"154" "ENSG00000084070" "SMAP2" "1" 40344850 40423326 1 78476
"155" "ENSG00000084072" "PPIE" "1" 39692182 39763914 1 71732
"156" "ENSG00000084073" "ZMPSTE24" "1" 40258041 40294180 1 36139
"157" "ENSG00000084623" "EIF3I" "1" 32221077 32245397 1 24320
"158" "ENSG00000084628" "NKAIN1" "1" 31179745 31239887 -1 60142
