"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"1","CDKN1A","CDKN1A","cyclin dependent kinase inhibitor 1A","protein-coding gene","ENSG00000124762","protein_coding","chr6:36676460-36687337","57","3.19","yes","no","no","4","UNCLEAR","no","no","no","1","no","no","P38936","5","2.45","ENSMUSG00000023067","chr17:29090976-29100727","Cdkn1a","15","yes","gene with protein product","1026"
"2","RRM2B","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B","protein-coding gene","ENSG00000048392","protein_coding","chr8:102204502-102238961","57","1.66","yes","yes","no","2","-","no","no","no","0","no","no","Q7LG56","5","1.59","ENSMUSG00000022292","chr15:37923952-37961318","Rrm2b","2","no","gene with protein product","50484"
"3","TNFRSF10B","TNFRSF10B","TNF receptor superfamily member 10b","protein-coding gene","ENSG00000120889","protein_coding","chr8:23020133-23069031","57","1.59","yes","yes","no","2","-","no","no","no","-1","no","no","O14763","4","0.78","-","-","-","-","-","gene with protein product","8795"
"4","BTG2","BTG2","BTG anti-proliferation factor 2","protein-coding gene","ENSG00000159388","protein_coding","chr1:203305491-203309602","56","2.61","yes","no","no","3","G1/S","no","no","no","2","no","no","P78543","1","5.31","ENSMUSG00000020423","chr1:134075170-134079120","Btg2","13","yes","gene with protein product","7832"
"5","SESN1","SESN1","sestrin 1","protein-coding gene","ENSG00000080546","protein_coding","chr6:108986437-109094819","56","2.23","yes","no","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000038332","chr10:41809935-41908424","Sesn1","0","no","gene with protein product","27244"
"6","PLK3","PLK3","polo like kinase 3","protein-coding gene","ENSG00000173846","protein_coding","chr1:44800377-44805990","56","1.8","yes","no","no","3","G1/S","no","no","no","2","no","no","-","-","-","ENSMUSG00000028680","chr4:117128655-117133963","Plk3","1","no","gene with protein product","1263"
"7","FDXR","FDXR","ferredoxin reductase","protein-coding gene","ENSG00000161513","protein_coding","chr17:74862497-74873031","55","2.34","yes","yes","no","2","-","no","no","no","-2","no","no","-","-","-","-","-","-","-","-","gene with protein product","2232"
"8","CYFIP2","CYFIP2","cytoplasmic FMR1 interacting protein 2","protein-coding gene","ENSG00000055163","protein_coding","chr5:157266079-157395595","55","1.99","yes","yes","no","2","-","no","no","no","-3","no","no","Q96F07","4","0.69","ENSMUSG00000020340","chr11:46193850-46312859","Cyfip2","9","no","gene with protein product","26999"
"9","TIGAR","TIGAR","TP53 induced glycolysis regulatory phosphatase","protein-coding gene","ENSG00000078237","protein_coding","chr12:4307763-4360028","55","1.75","yes","yes","no","1","-","no","no","no","1","no","no","Q9NQ88","5","1.38","ENSMUSG00000038028","chr6:127085116-127109557","Tigar","1","no","gene with protein product","57103"
"10","FBXO22","FBXO22","F-box protein 22","protein-coding gene","ENSG00000167196","protein_coding","chr15:75903876-75942511","55","1.07","yes","yes","no","3","G2/M","no","no","no","3","no","no","Q8NEZ5","5","0.97","ENSMUSG00000032309","chr9:55208925-55224433","Fbxo22","-1","no","gene with protein product","26263"
"11","BLOC1S2","BLOC1S2","biogenesis of lysosomal organelles complex 1 subunit 2","protein-coding gene","ENSG00000196072","protein_coding","chr10:100273280-100286680","55","1.06","yes","yes","no","1","-","no","no","no","5","no","yes","Q6QNY1","4","0.57","ENSMUSG00000057506","chr19:44139246-44146446","Bloc1s2","6","yes","gene with protein product","282991"
